id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-19T03:34:17,0,0,@davidhogg111 You have nothing to do with what happened in Texas... go away.,,,,,0,0,1,0
,2018-05-18T20:05:44,0,0,Congratulations @EricGreitens ! I voted for you...  Now keep your f’ing nose clean. I wont defend you next time they find skeletons in your closet.,,,,,0.784,0,0.744,0.256
,2018-05-17T16:30:56,0,15,"RT @magathemaga1: Al Watkins says he got money cuz supposed 2 help with ""fallout"" of release. Why would anybody care if PS hurt financially…",,,,,0.3612,0.116,0.683,0.201
,2018-05-17T16:28:28,0,10,RT @Avenge_mypeople: 2) @EricGreitens plan to put a stop to it is what stirred up this hornets nest of vipers. Even though the corrupt #Kim…,,,,,-0.296,0.087,0.913,0
,2018-05-17T16:27:11,0,32,"RT @Avenge_mypeople: There is some seriously underhanded, dirty politics in Missouri. Behind it all- the attempted prosecution of the gover…",,,,,-0.7783,0.315,0.685,0
,2018-05-15T04:19:38,0,23,"RT @VisioDeiFromLA: How I know this a COUP?

#MoLeg didn't even wait 2 release statements to try to distract from #Greitens statements

Des…",,,,,-0.296,0.104,0.896,0
,2018-05-14T12:53:31,0,0,@Alyssa_Milano  https://t.co/014G9iQwpL,,,,,0,0,1,0
,2018-05-12T02:34:51,0,0,@Alyssa_Milano I don’t bother with D-List in Friday’s,,,,,-0.34,0.286,0.714,0
,2018-05-09T04:08:16,0,0,@DLoesch @Alyssa_Milano? She’s not even D-List... she’s nobody.,,,,,0,0,1,0
,2018-05-09T04:02:11,0,2129,RT @JamesOKeefeIII: Being unverified from Twitter is the new verified. @jack,,,,,0,0,1,0
,2018-05-09T04:00:38,0,9,"RT @VisioDeiFromLA: She knew.

#moleg #mogov #greitens #mosen #missouri #stl #kcmo #kansascity #StLouis #greitensindictment #witchhunt @joe…",,,,,0,0,1,0
,2018-05-03T05:35:33,0,0,@TheRoot Typical liberal rag... has to catagorize everybody and everything.,,,,,0,0,1,0
,2018-05-03T05:33:33,0,0,Histrionic personality disorder defined: @MichaelAvenatti,,,,,-0.4019,0.403,0.597,0
,2018-04-26T04:55:56,0,0,@michaelmaschi Nice to see you are taking time out of your busy schedule violating your students constitutional rights to celebrate!,,,,,0.5093,0.128,0.623,0.249
,2018-04-26T04:47:51,0,0,@CarenZTurner Entitled much?,,,,,0.2732,0,0.488,0.512
,2018-04-26T04:08:36,0,0,Thank you @RealCandaceO,,,,,0.3612,0,0.444,0.556
,2018-04-18T22:45:42,0,7025,RT @marklevinshow: An attorney representing CNN &amp; NY Times pressed the court to release Hannity’s name; I don’t recall either “news” outlet…,,,,,0,0,1,0
,2018-04-17T17:16:42,0,6,RT @Margare03880660: The Riverfront Times twisted it to sound like@jallman971 is a crybaby and stupid. It upset me when I saw it. @jallman9…,,,,,-0.7184,0.24,0.76,0
,2018-04-17T17:16:38,0,8,RT @AmfellinAlicia: https://t.co/qBYimur1EX @RFTStreet @jallman971,,,,,0,0,1,0
,2018-04-16T03:12:46,1,0,"@charlesjaco1 It was literally a figure of speech. Stop being offended for other people.! David Hogg stated “It doesn’t really matter what people say...  I’d rather not respond, because I don’t want the focus to be on me.""",,,,,-0.4213,0.115,0.817,0.069
,2018-04-15T07:32:59,0,0,@RiverfrontTimes  https://t.co/fIXtFiqJL2,,,,,0,0,1,0
,2018-04-12T04:18:43,0,0,@SpeakerTimJones @staceynewman @jallman971 @971FMTalk  https://t.co/7DXUcs5AAw,,,,,0,0,1,0
,2018-04-09T06:07:36,0,0,@PalmHealthSTL @kevinsmurray @PalmHealthSTL has no backbone...,,,,,-0.296,0.306,0.694,0
,2018-04-09T06:06:14,0,0,@charlesjaco1 https://t.co/FGUyjQA6AQ,,,,,0,0,1,0
,2018-04-07T20:37:04,0,0,"@staceynewman @drewmanshow @RuthsChris @971FMTalk @jallman971 @ProgWomen The only #hate is @staceynewman taking what @jallman971 said out of context and trying to ruin his career. Thank you for the list of advertisers, we'll be sure to spend our money with the ones that stay.",,,,,0,0.078,0.823,0.099
,2018-04-07T20:30:04,0,0,"@drewmanshow @GetSpectrum @RuthsChris @jallman971 @971FMTalk Does @RuthsChris even realize that @drewmanshowhas has an agenda, is the stepson of @staceynewman and isn't just a regular customer of @RuthsChris ""upset"" by taking @jallman971 comments out of context? G'bye @RuthsChris... boycotts go both ways.",,,,,-0.34,0.058,0.942,0
,2018-03-15T12:34:49,0,5438,"RT @JamesOKeefeIII: While we're unsure why exactly Twitter suspended @scrowder, we have our suspicions. This undercover audio of a Twitter…",,,,,-0.765,0.322,0.678,0
,2018-03-05T04:47:07,0,0,#Oscars2018 #Oscars #Academy #AcademyAwards #AcademyAwards2018 @TheAcademy @JimmyKimmelLive @jimmykimmel https://t.co/DLFERX9o6c,,,,,0,0,1,0
,2018-02-28T05:25:55,0,0,@RealAlexJones @davidhogg111 #HoggWash https://t.co/xQMyyfNaBp,,,,,0,0,1,0
,2018-02-28T00:42:39,0,0,"@bob42156 Actually, Chief Petty Officer Chris Kyle was ambushed and shot in the back by a man with psychiatric issues while he was trying to help him overcome PTSD. Once again, the issue was mental health. #ripchriskyle #chriskyle #Snipers @usnavyseals",,,,,0.2263,0.043,0.892,0.065
,2018-02-28T00:41:52,0,0,"@BlaineBershad Actually, Chief Petty Officer Chris Kyle was ambushed and shot in the back by a man with psychiatric issues while he was trying to help him overcome PTSD. Once again, the issue was mental health. #ripchriskyle #chriskyle #Snipers @usnavyseals",,,,,0.2263,0.043,0.892,0.065
,2018-02-28T00:41:24,2,0,"@ThomasS4217 Actually, Chief Petty Officer Chris Kyle was ambushed and shot in the back by a man with psychiatric issues while he was trying to help him overcome PTSD. Once again, the issue was mental health. #ripchriskyle #chriskyle #Snipers @usnavyseals",,,,,0.2263,0.043,0.892,0.065
,2018-02-28T00:40:01,0,0,"@milton_zakaria @JohnJHarwood Actually, Chief Petty Officer Chris Kyle was ambushed and shot in the back by a man with psychiatric issues while he was trying to help him overcome PTSD. Once again, the issue was mental health. #ripchriskyle #chriskyle #Snipers @usnavyseals",,,,,0.2263,0.042,0.894,0.064
,2018-02-28T00:39:39,0,0,"@MrPaulBae Actually, Chief Petty Officer Chris Kyle was ambushed and shot in the back by a man with psychiatric issues while he was trying to help him overcome PTSD. Once again, the issue was mental health. #ripchriskyle #chriskyle #Snipers @usnavyseals",,,,,0.2263,0.043,0.892,0.065
,2018-02-28T00:38:55,0,0,"@TimfromDa70s Actually, @TimfromDa70s, Chief Petty Officer Chris Kyle was ambushed and shot in the back by a man with psychiatric issues while he was trying to help him overcome PTSD. Once again, the issue was mental health. #ripchriskyle #chriskyle #Snipers @usnavyseals",,,,,0.2263,0.042,0.894,0.064
,2018-02-28T00:34:12,0,0,"@Comey Whats the book called ""Liar""?",,,,,0,0,1,0
,2018-02-26T08:38:44,1,0,More proof of scripted questions provided by CNN and Liberal interests. @Emma4Change and the other #MarchForOurLives kids are just puppets of the left. @seanhannity @TuckerCarlson @IngrahamAngle @jallman971 @gatewaypundit @DRUDGE @LevinTV @FoxNews @RealAlexJones @allidoisowen https://t.co/1TbiGaJ8vG,,,,,0.25,0,0.943,0.057
,2018-02-25T21:16:10,0,0,@JimmyKimmelLive @TheAcademy @JimmyKimmelLive @jimmykimmeL... The lefts Useful Idiot.,,,,,-0.1027,0.27,0.492,0.238
,2018-02-25T21:12:48,0,0,@krassenstein Get your facts straight @krassenstein. The shooting could have been prevented if not for failure of Joint Terrorism Task Force who failed to notify of shooters increasing radicalization. The base was also unable to defend due to Clinton Administration's Regulation 190–14.,,,,,-0.6367,0.156,0.731,0.113
,2018-02-25T13:06:04,0,7202,"RT @Thomas1774Paine: In under 4 days -- Anti-Gun School ""kids"" get:
Websites
Little Blue Check Mark
Millions in GoFund Me cash
Hundreds of…",,,,,0,0,1,0
,2018-02-25T13:05:41,0,6769,RT @IngrahamAngle: The 2nd Am rights of law abiding Americans shd not be infringed when it was the @FBI &amp; local authorities who screwed up…,,,,,-0.4939,0.118,0.882,0
,2018-02-25T13:03:56,0,809,"RT @FoxNews: President @realDonaldTrump on gun legislation: ""Somebody who is mentally ill should not have a weapon."" https://t.co/l35e12kwmU",,,,,-0.6369,0.257,0.743,0
,2018-02-25T12:58:59,0,2644,"RT @Fuctupmind: In October, Hillary Clinton had ZERO idea about the dossier.

In November, Hillary Clinton admitted to funding the dossier…",,,,,0.1027,0,0.935,0.065
,2018-02-23T17:11:24,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.    Tapper: ""Senator Nelson, you don't have to uh, you don't have to  answer   that question, um, ah, let's, let's move on to the next  question...  um""  https://t.co/fxf9gTx2pp @FoxNews @BenSwann_",,,,,-0.2263,0.069,0.931,0
,2018-02-23T17:10:56,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.    Tapper: ""Senator Nelson, you don't have to uh, you don't have to  answer   that question, um, ah, let's, let's move on to the next  question...  um""  https://t.co/fxf9gTx2pp @LevinTV",,,,,-0.2263,0.071,0.929,0
,2018-02-23T17:10:48,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.    Tapper: ""Senator Nelson, you don't have to uh, you don't have to  answer   that question, um, ah, let's, let's move on to the next  question...  um""  https://t.co/fxf9gTx2pp  @MarcCox971 @WayneDupreeShow",,,,,-0.2263,0.069,0.931,0
,2018-02-23T17:08:50,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.    Tapper: ""Senator Nelson, you don't have to uh, you don't have to  answer   that question, um, ah, let's, let's move on to the next  question...  um""  https://t.co/fxf9gTx2pp @DRUDGE @DRUDGE_REPORT",,,,,-0.2263,0.069,0.931,0
,2018-02-23T17:07:57,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.    Tapper: ""Senator Nelson, you don't have to uh, you don't have to  answer   that question, um, ah, let's, let's move on to the next  question...  um""  https://t.co/fxf9gTx2pp @CPAC  #CPAC #CPAC2018 @NRA",,,,,-0.2263,0.066,0.934,0
,2018-02-23T17:07:01,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.    Tapper: ""Senator Nelson, you don't have to uh, you don't have to  answer   that question, um, ah, let's, let's move on to the next  question...  um""  https://t.co/fxf9gTx2pp @AMarch4OurLives",,,,,-0.2263,0.071,0.929,0
,2018-02-23T17:06:45,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.    Tapper: ""Senator Nelson, you don't have to uh, you don't have to  answer   that question, um, ah, let's, let's move on to the next  question...  um""  https://t.co/fxf9gTx2pp @BillOReilly",,,,,-0.2263,0.071,0.929,0
,2018-02-23T17:06:33,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.    Tapper: ""Senator Nelson, you don't have to uh, you don't have to  answer   that question, um, ah, let's, let's move on to the next  question...  um""  https://t.co/fxf9gTx2pp @IngrahamAngle",,,,,-0.2263,0.071,0.929,0
,2018-02-23T17:06:12,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.    Tapper: ""Senator Nelson, you don't have to uh, you don't have to  answer   that question, um, ah, let's, let's move on to the next  question...  um""  https://t.co/fxf9gTx2pp @TuckerCarlson",,,,,-0.2263,0.071,0.929,0
,2018-02-23T17:06:01,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.   Tapper: ""Senator Nelson, you don't have to uh, you don't have to answer   that question, um, ah, let's, let's move on to the next question...  um""  https://t.co/fxf9gTx2pp @seanhannity",,,,,-0.2263,0.071,0.929,0
,2018-02-23T17:05:34,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.   Tapper: ""Senator Nelson, you don't have to uh, you don't have to answer   that question, um, ah, let's, let's move on to the next question...  um""  https://t.co/fxf9gTx2pp @RealJamesWoods",,,,,-0.2263,0.071,0.929,0
,2018-02-23T17:05:07,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson.  Tapper: ""Senator Nelson, you don't have to uh, you don't have to answer  that question, um, ah, let's, let's move on to the next question... um""  https://t.co/fxf9gTx2pp @jallman971 @971FMTalk @gatewaypundit",,,,,-0.2263,0.068,0.932,0
,2018-02-23T17:04:35,0,0,"Obvious bias by @CNN @jaketapper on tough question for Sen Ben Nelson. Tapper: ""Senator Nelson, you don't have to uh, you don't have to answer that question, um, ah, let's, let's move on to the next question... um"" https://t.co/fxf9gTx2pp @realDonaldTrump @DonaldJTrumpJr",,,,,-0.2263,0.069,0.931,0
,2018-02-22T05:46:33,0,0,@JamesOKeefeIII @Project_Veritas Will you be speaking in St. Louis?,,,,,0,0,1,0
,2018-02-22T04:52:51,0,12769,"RT @JamesOKeefeIII: Looks like thousands of Twitter users committed the thought crime of tweeting about ""God,"" ""the American flag,"" and ""gu…",,,,,0.0258,0.134,0.69,0.176
,2018-02-17T23:48:04,0,0,@Comey  https://t.co/OyiNamYZtE,,,,,0,0,1,0
,2018-02-17T23:47:03,0,0,@Comey #jamescomey @realDonaldTrump @DonaldJTrumpJr @seanhannity @TuckerCarlson @IngrahamAngle @CNN @AC360 @wolfblitzer @jaketapper @donlemon @cuomo_chris #Trump #cnn #MAGA #FoxNews https://t.co/AjxFihUKxU,,,,,0,0,1,0
,2018-02-05T03:09:04,0,6406,"RT @Snowden: Dear Joe, 
With respect, that ""reckless"" approach led to the largest reform of unconstitutional domestic surveillance since 19…",,,,,0.6908,0,0.759,0.241
,2018-02-02T04:16:36,0,138,"RT @GOPPollAnalyst: .@Comey's Federal Bureau of Matters #ReleaseTheMemo 
https://t.co/PwCi109WMr",,,,,0.0258,0,0.879,0.121
,2018-01-31T22:50:09,0,0,"@SethMacFarlane #VirtueSignaling is still a thing @SethMacFarlane? Theres nothing wrong with American prosperity. Oh wait, your a 1%’er... What do you care about lowly Americans and their prosperity?",,,,,0.6266,0.064,0.739,0.197
,2018-01-25T22:32:00,0,0,@MichelleObama I don’t miss the Obama’s at all... glad it’s over.,,,,,0.34,0.127,0.635,0.238
,2018-01-25T22:30:15,1,0,@swtp2k6 @MichelleObama What an ignorant comment...,,,,,-0.2732,0.296,0.704,0
,2018-01-23T19:46:22,0,0,"@JamesOKeefeIII @JamesOKeefeIII, I think Jacks tweet should go on your trophy wall...",,,,,0,0,1,0
,2018-01-23T15:14:34,0,0,@CNN @CillizzaCNN @CNN has nothing of value to add to society...,,,,,-0.2584,0.169,0.831,0
,2018-01-23T03:13:57,0,0,@donnabrazile LOL @donnabrazile... acting like it was Trump’s fault.,,,,,0.516,0.183,0.407,0.409
,2018-01-23T01:34:29,8,4,In the case of the Short Term Spending Bill... @SenSchumer @NancyPelosi @CNN @MSNBC @andersoncooper @maddow @jaketapper @realDonaldTrump @DefendingtheUSA @jallman971 @971FMTalk @seanhannity @TuckerCarlson @IngrahamAngle @DonaldJTrumpJr #budget  #daca #MAGA #SchumerSellout https://t.co/5qDHx6dtcb,,,,,0,0,1,0
,2018-01-15T09:25:21,0,4959,"RT @JamesOKeefeIII: You were all busy covering the @realdonaldtrump ""shithole"" comment, what about this Twitter exec saying they're banning…",,,,,0,0,1,0
,2018-01-12T07:28:37,0,0,These journalists refuse to cover Twitter's #ShadowBanning: @jaketapper @andersoncooper @AC360 @60minutes @maddow @CillizzaCNN @JoeNBC @ChrisCuomo. More details here: https://t.co/vb2UWjLvRL Support Real News: @JamesOKeefeIII @jallman971 @seanhannity @TuckerCarlson @FoxNews,,,,,0.128,0.074,0.836,0.09
,2018-01-10T08:14:43,0,3,RT @971FMTalk: A lesson in language from Scott Baio: https://t.co/ifTxhr2kBL @jallman971 #allman971,,,,,0,0,1,0
,2017-12-31T16:03:03,0,0,"@mferron @ConanOBrien @Lawrence You’re talking about the Clintons, right?",,,,,0,0,1,0
,2017-12-31T16:01:36,0,0,@MarieLDubois1 @ConanOBrien @Alyssa_Milano These people have no idea what impeachment means... they are so desperate.,,,,,-0.6359,0.285,0.715,0
,2017-12-31T15:59:52,0,0,@tinamarien27 @ConanOBrien Impeachment doesnt mean what YOU think it means...,,,,,0,0,1,0
,2017-12-31T15:56:27,0,0,@death_to_ether @vinvoo @decellr1988 @ConanOBrien Actually. Hillary cheated and still lost...,,,,,-0.5106,0.268,0.732,0
,2017-12-09T07:58:58,0,0,"@winkbeds Very disappointed... Actual results from my Wink Bed order and ""White Glove Delivery"" on December 8, 2017... https://t.co/HrwqW4RD6z",,,,,0,0,1,0
,2017-12-05T06:02:26,0,458,"RT @jonmorosi: In Giancarlo Stanton trade talks, #Marlins have shown interest in Michael Wacha and José Martínez, according to a report by…",,,,,0.4588,0,0.87,0.13
,2017-12-05T06:00:16,0,0,@Giancarlo818 @MLB @mlbtraderumors @SFGiants @stlcardinals https://t.co/rG1iFSkG4o,,,,,0,0,1,0
,2017-12-05T05:49:22,0,0,@CoryGearrin @SFGiants @Giancarlo818 I would wager @Giancarlo818's decision is not based on your social media presence.,,,,,0,0,1,0
,2017-12-04T01:52:32,0,0,@Giancarlo818... make a decision already! There’s much more important things for the media to report about.,,,,,0.3367,0,0.854,0.146
,2017-11-26T17:00:47,0,0,@BJRains First world problems...,,,,,0,0,1,0
,2017-11-26T16:59:40,0,0,@donnabrazile And the criminal activity on you and @HillaryClinton wouldn’t fit in a tweet... Sad.,,,,,-0.6124,0.325,0.55,0.125
,2017-08-23T03:00:14,0,8316,"RT @realDonaldTrump: See you at 7:00 P.M. tonight Phoenix, Arizona! #MAGA🇺🇸
Tickets: https://t.co/2kUQfKqbsx https://t.co/1w3LVkpESE",,,,,0,0,1,0
,2017-08-20T03:51:28,0,0,@RealWendyBelle I've been watching your videos tonight. You're the best! I love you!,,,,,0.8745,0,0.527,0.473
,2017-08-20T03:35:11,1,0,@MarcCox971 @jallman971 @971FMTalk https://t.co/PS9H4fPpsn,,,,,0,0,1,0
,2017-08-20T03:32:10,1,0,@donnabrazile Trump condemned... why deny it?,,,,,-0.34,0.324,0.676,0
,2017-08-19T20:34:44,0,659,"RT @FoxNews: WATCH: Older Woman Holding American Flag Hit, Dragged in #Boston https://t.co/TbgfpksEJq",,,,,-0.0516,0.091,0.909,0
,2017-08-13T04:49:28,0,0,@ProgressPolls LOL... your phrasing of the question is very biased,,,,,-0.3384,0.21,0.79,0
,2017-05-18T12:48:51,1,0,@jallman971 It's just a buzz word. Impeachment is a myth. No Pres has been forcefully removed. Not even Nixon. Lefty's don't know meaning.,,,,,-0.296,0.099,0.901,0
,2017-03-31T04:29:52,0,0,@LenzFieldSports @Slforcebaseball #playtheturf https://t.co/1WXu9Yn2A0,,,,,0,0,1,0
,2016-10-29T22:25:49,2,5,"Live from Trump Rally @ Gravois Bluffs in Fenton, MO w/ @jallman971,  @SpeakerTimJones and Rear Admiral Williams! https://t.co/jqyKIMCSAN https://t.co/4QPTTNZtC8",,,,,0.3802,0,0.868,0.132
,2016-10-29T22:12:42,4,1,"@jallman971 @971FMTalk Trump Rally @ Gravois Bluffs Fenton, MO https://t.co/SEQj5ImLIY",,,,,0,0,1,0
,2016-10-29T22:07:25,17,17,"@jallman971 @971FMTalk A Vet in line only had ATM card, couldn't buy hat, my son and I bought hat for him and thanked him for his service https://t.co/A4OWK127YV",,,,,0.4404,0,0.896,0.104
,2016-10-29T22:00:23,9,5,"@jallman971 Veterans for Trump Rally @ Gravois Bluffs in Fenton, MO https://t.co/Za6K08KIEx",,,,,0,0,1,0
,2014-12-19T22:42:10,0,0,"@PIASArnold @101ESPNFastLane @RandyKarraker @d @bthompson48 Boy meets SB Champ, WS Champ &amp; Media Veteran in one stop! http://t.co/50h4QPwqhM",,,,,0.6476,0.093,0.633,0.274
,2014-10-08T00:21:14,0,104,"RT @FSMidwest: Live in the @Cardinals clubhouse, the celebration about to begin. #STLCards http://t.co/PSOe0hGbqi",,,,,0,0,1,0
,2014-10-08T00:20:58,0,1,"RT @Pariahjf: @Sassi_Sandy @Vere78 This is what a REAL bubble machine looks like, #Dodgers fans!!! http://t.co/XCmmUU4w0Y",,,,,0.5229,0,0.806,0.194
,2014-10-07T23:38:41,0,0,@GregDeetman And..... #Postseason issues contiunue for Kershaw,,,,,0,0,1,0
,2013-10-20T06:31:27,0,0,@Reverend_10 Didnt get your wish did you? #Braves who?,,,,,0.4696,0,0.723,0.277
,2013-10-20T06:19:56,0,0,@corybutler54 Typical east coast mentality... living in your own little world. #realitycheck,,,,,0,0,1,0
,2013-10-20T06:14:06,0,0,@billy_d32 ITT... OP makes an uneducated statement about baseball.,,,,,0,0,1,0
,2013-10-15T01:13:15,0,0,@MLBMeme http://t.co/QZFctgC7h9,,,,,0,0,1,0
,2013-10-14T06:42:24,0,0,#ALCS Screenshot of interference non-call http://t.co/g8MkA3RUeH,,,,,0,0,1,0
,2013-10-14T06:23:25,0,0,The #RedSox fan interference was clear on the replay. Bad call for the #Tigers. @postseason #MLB #ALCS #NLDS http://t.co/bNljp2hzTL,,,,,0.1027,0.143,0.656,0.201
,2013-10-14T04:27:38,0,0,#postseason #Tigers #RedSox Fans reached in the field of play. MLB rules are clear. http://t.co/XdNcy44MyR http://t.co/CK6xjhqWi1,,,,,0.6597,0,0.67,0.33
,2013-10-14T04:07:30,0,12,"RT @tyschalter: ""NO INTERFERENCE FROM THE FANS,"" declares incorrect guy http://t.co/xWWjLq59XX",,,,,-0.4466,0.227,0.773,0
,2013-10-14T02:02:29,0,0,"@rickmitch87... Actually its a perfect example of post season reflecting regular season. Cards finished w/ best NL record, Dodgers didn't.",,,,,0.836,0,0.683,0.317
,2013-10-14T01:39:01,0,0,"@Jeffy_Collins_, @Buck has been doing baseball since 1991....",,,,,0,0,1,0
,2013-10-13T21:19:56,0,1,"RT @ChavezRavineSRH: #Dodgers #ThinkBlue Michael Wacha, Cardinals blank Dodgers for 2-0 NLCS lead - ESPN (blog) http://t.co/xzCBy3vKyw #Spo…",,,,,0,0,1,0
