id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-21T23:10:21,2,1,"@Sticknstones4 Add Jeanie Lauer to the list , she took LIHTC ! How bias when she sits on the house sham committee",,,,,-0.1759,0.082,0.918,0
,2018-05-21T23:08:15,0,9,"RT @magathemaga1: Good afternoon 2 everybody but @scottfaughn 

Where U at bro? Going over public MEC disclosures... 

What's common theme?…",,,,,0.3204,0,0.88,0.12
,2018-05-21T21:34:48,0,0,"@KCStar Oppose HR2 , let Greitens Defend his allegations 
With due process &amp; cross examination 
Todd Richardson: Missouri Representatives Oppose HR 2. - Sign the Petition! https://t.co/gzCCElMSlw via @Change",,,,,0,0,1,0
,2018-05-21T21:32:47,0,0,"@KMOV Sign the petition to oppose impeachment proceedings 
Oppose HR2  to allow cross examination &amp; due process
Todd Richardson: Missouri Representatives Oppose HR 2. - Sign the Petition! https://t.co/gzCCElMSlw via @Change",,,,,0.2942,0,0.93,0.07
,2018-05-21T21:30:07,3,2,"@41actionnews @StevenDialTV Now everybody sign the petition and allow greitens due process &amp; cross examination 

Todd Richardson: Missouri Representatives Oppose HR 2. - Sign the Petition! https://t.co/gzCCElMSlw via @Change",,,,,0.2942,0,0.925,0.075
,2018-05-21T21:26:55,0,0,@ChrisDavisMMJ @ksdknews Todd Richardson: Missouri Representatives Oppose HR 2. - Sign the Petition! https://t.co/gzCCElMSlw via @Change,,,,,0,0,1,0
,2018-05-21T21:25:26,2,1,Missouri House of Representatives: Urgent! Stop the Coup Against Gov. Eric Greitens - Sign the Petition! https://t.co/RZuiGONCdG via @Change,,,,,-0.2462,0.135,0.777,0.087
,2018-05-21T21:05:32,10,9,"Let’s Play  
Is Your Legislator a Swamp Creature 🧟‍♂️🧟‍♀️

Go to https://t.co/RcPJFwdEMZ   Search candidates reports 

If you see the names on list, Congratulations! Your Legislator is a Swamp Creature 

They are bought by LIHTC ( low income housing tax credits)

#Moleg https://t.co/3PKvkrb5pD",,,,,0.6696,0.047,0.806,0.147
,2018-05-21T20:41:44,2,0,@ChrisDavisMMJ @ksdknews @stlcao @EricGreitens He should order not to be involved in any case,,,,,0,0,1,0
,2018-05-21T17:13:50,3,4,"Oppose HR2, Allow #Greitens a fair defense &amp; Due Process ! 
Please sign 
Todd Richardson: Missouri Representatives Oppose HR 2. - Sign the Petition! https://t.co/gzCCElMSlw via @Change",,,,,0.7639,0,0.7,0.3
,2018-05-21T17:06:53,0,0,"@YearOfZero @Rep_TRichardson @BillEigel @Eric_Schmitt @EricGreitens That’s a fabulous idea
haul in Patrick Blaissie !",,,,,0.5707,0,0.749,0.251
,2018-05-21T17:05:34,14,8,"Why are the Republicans protecting Scott Faughn ?
Bag Man drops off 70,000 in cash to Al Watkins &amp; the House Committee  no longer will pursue the supoena 

Total Sham Job!    Haul Him In!

#Moleg #greitens.  Stop the Impeachment",,,,,-0.6103,0.122,0.878,0
,2018-05-20T03:50:03,2,0,"This petition is to stop the coup against governor Eric Greitens 
Missouri House of Representatives: Urgent! Stop the Coup Against Gov. Eric Greitens - Sign the Petition! https://t.co/RZuiGONCdG via @Change",,,,,-0.4912,0.152,0.793,0.055
,2018-05-20T03:48:29,2,0,"OPPOSE HR2 allow due process 
Todd Richardson: Missouri Representatives Oppose HR 2. - Sign the Petition! https://t.co/CGMPO6kgUT via @Change",,,,,0.2942,0,0.886,0.114
,2018-05-20T03:45:29,6,3,"#moleg just want to run a sham Impeachment hearing just like they did with the House Investigative Report.  Every accused person has the right to defend themselves.  
Sign the petition to stop HR2

#greitens #witchhunt #missouri #STLCards https://t.co/OXAjCzR8ce",,,,,-0.1531,0.107,0.801,0.092
,2018-05-20T02:02:01,8,7,"OH Really ?   She had No evidence !  Stop the impeachment 
  #kimshady #greitens #moleg #stl #missouri 

Former employee describes circuit attorney’s office as ‘mismanaged’ – https://t.co/mLEjw5LION https://t.co/lXhfxZfT2u",,,,,-0.6067,0.184,0.816,0
,2018-05-20T01:54:30,18,14,"When is #moleg going to bring in Scott Faughn and follow the Money 
The 120k cash.  Which LIHTC recipents Paid For the coup ? 

Follow the money trail behind the Greitens’ invasion of privacy case – https://t.co/mLEjw5LION https://t.co/MGrF5WAt1H",,,,,0,0,1,0
,2018-05-19T01:23:35,5,0,@FOX2now So efficient of him to make this divine discovery on the eve of the impeachment.  Poor Time Management  Skills Josh,,,,,0.642,0.109,0.633,0.258
,2018-05-19T01:21:36,0,0,@ws_missouri Start them out young before they turn to corrupt bullies,,,,,0,0,1,0
,2018-05-19T00:05:44,14,8,"What has come out of the baseless Greitens Witch Hunt?

Woke Voters !  #Moleg  We see Your corrupt ways 

#missouri #greitens #woke #mogov #mosen 
#FireClaire #STLCards #stl #KansasCity #joplin #springfield #poplarbluff #capegiradeau #liberty #branson #sikeston #Ozark #leesummit https://t.co/bS4jSzwclZ",,,,,-0.4199,0.072,0.928,0
,2018-05-18T23:53:34,2,0,"@Avenge_mypeople @ResignNowKim @KMOV @HawleyMO @HennessySTL @EdBigCon @RightSideUp313 @RealTravisCook @Sticknstones4 @SKOLBLUE1 @blackwidow07 He is the ying To kim shadys yang, 2 peas in a pod of dumb",,,,,-0.5106,0.125,0.875,0
,2018-05-18T15:14:27,9,8,"Why No Haste to Find The Bag Man ? 

Supoenas were issued !   Why Doesn’t Jay Barnes &amp; 

Committee  want to hear &amp; cross examine his testimony ? 

Who supplied the 120k Cash ?

The money must be followed before any Impeachment!

#Moleg #MoGov #MoSen #greitens #LIHTC #scam https://t.co/3lAa1KBkRM",,,,,-0.4632,0.07,0.903,0.027
,2018-05-18T03:31:47,17,11,"Why does Jay Barnes &amp; Todd Richardson spend so much money on Fake new subscriptions by a supoena evader ?

#Missouricrimes #moleg @ChrisHayesTV https://t.co/eKwRzKLzaw",,,,,-0.4767,0.129,0.871,0
,2018-05-18T03:27:02,1,0,"@ws_missouri Look at their lavish lifestyles , private planes , estates, large philanthropy, trophy wives , horses, yachts 
Fancy sports cars",,,,,0,0,1,0
,2018-05-18T03:24:30,2,0,"@ws_missouri Lol at worthy program .. it’s worthy to them with a 60 cent profit and only 40 cents to the project 
They’re crooks &amp; they’ve had politicians by the balls for years",,,,,0.8885,0,0.709,0.291
,2018-05-18T03:20:30,13,7,"Why does Jay Barnes allow Scott Faughn to evade his supoena ?

Why does Jay Barnes not call back @fox2  @ChrisHayesTV about his campaign contributions from LIHTC PACs 

#greitens #moleg https://t.co/3m3z3HeKmm",,,,,0.2263,0,0.939,0.061
,2018-05-18T03:07:45,0,14,RT @JasonGCrowell: Follow the money trail behind the Greitens’ invasion of privacy case https://t.co/9PmkkLnOBP via @fox2now,,,,,0,0,1,0
