id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-22T16:30:12,0,18,"RT @magathemaga1: The problem is the house lied. 

They can’t establish credibility as THEY NEVER EVEN CROSS EXAMINED THE WITNESS 

House t…",,,,,-0.6486,0.209,0.791,0
,2018-05-22T16:29:40,0,0,"Oh for Christ""s sake https://t.co/EidDEN9Y7o",,,,,0,0,1,0
,2018-05-22T14:13:20,0,2,RT @grcfay: @Lautergeist @blackwidow07 @Markknight45 @magathemaga1 @VisioDeiFromLA @Avenge_mypeople @EricGreitens @TeamGreitens @Rep_TRicha…,,,,,0,0,1,0
,2018-05-22T13:18:55,0,0,I love this idea https://t.co/kwxQILm4zw,,,,,0.6369,0,0.417,0.583
,2018-05-22T13:18:38,0,0,Never give up. https://t.co/7r0hKz8C0U,,,,,0,0,1,0
,2018-05-22T13:17:36,0,8476,"RT @charliekirk11: Harvard will host its first ever “black only” graduation ceremony

This is racist and a disgrace to all racial progress…",,,,,-0.802,0.275,0.725,0
,2018-05-22T13:17:08,0,0,Stupid stupid stupid ... Watching this stuff at work ... #MakeupFix https://t.co/6QSESJf5fH,,,,,-0.8807,0.531,0.469,0
,2018-05-22T13:15:46,0,6,"RT @Str8DonLemon: @ST_Designs @CaseyNolen @tonymess She isnt a victim.

KS ADMITS HER MEMORY ISN'T RELIABLE - AUDIO!

""...The Memory that I…",,,,,-0.2284,0.126,0.789,0.084
,2018-05-22T13:15:19,0,0,"You poor man.  At least you got to take Mrs out on a date!

❤️❤️❤️

@MarcCox971 
#MarcCoxMorningShow",,,,,-0.5255,0.184,0.816,0
,2018-05-22T13:13:15,4,5,"Come on #MoLeg!  This is NOT what we hired you to do!  #ElectionsHaveConsequences

We were on to your shenanigans and hired @GovGreitensMO to clean up your shit-box https://t.co/Bmx8JLnmZY",,,,,0.508,0,0.892,0.108
,2018-05-22T13:01:51,1,0,@TheNewRight @jallman971 I always assumed a MUSKrat was stinky,,,,,-0.3612,0.294,0.706,0
,2018-05-22T13:01:25,0,1,"RT @TheNewRight: BREAKING: Facebook reacts to #RadioFreeAllman suggestion that they pay to go to the zoo

@jallman971 @RadioFreeAllman http…",,,,,-0.1027,0.072,0.928,0
,2018-05-22T13:01:15,0,2,"RT @RAWPWR99FATBOY: @RadioFreeAllman @jallman971 

Not a penny over $4.99 ...
#Zootopia",,,,,0,0,1,0
,2018-05-22T12:55:54,0,0,"Fucking talk text.

It was an Irish Setter",,,,,0,0,1,0
,2018-05-22T12:34:59,4,0,The guy in front of me has a girlfriend in the passenger seat with the most beautiful red hair.  And that's when I noticed it wasn't his girlfriend.  It wasn't Irish Setter.,,,,,0.6361,0,0.874,0.126
,2018-05-22T12:33:00,1,0,We will have a serious discussion this weekend about leaving Netflix in the next month or two.  We are right in the middle of a series... https://t.co/YFqKiU2q88,,,,,-0.0772,0.051,0.949,0
,2018-05-22T11:34:56,6,4,"Not much of a case when your key witness says THIS:

#greitens https://t.co/s4YPjYwiGd",,,,,0,0,1,0
,2018-05-22T04:15:11,0,6,RT @blackwidow07: @VisioDeiFromLA @RealTravisCook @Markknight45 @magathemaga1 @Avenge_mypeople @grcfay @EricGreitens @TeamGreitens @Rep_TRi…,,,,,0,0,1,0
,2018-05-22T04:14:53,0,1,RT @Sticknstones4: @RealTravisCook @blackwidow07 @Markknight45 @magathemaga1 @VisioDeiFromLA @Avenge_mypeople @grcfay @EricGreitens @TeamGr…,,,,,0,0,1,0
,2018-05-22T04:14:18,0,6,RT @Hope4Hopeless1: @RealTravisCook @blackwidow07 @Markknight45 @magathemaga1 @VisioDeiFromLA @Avenge_mypeople @grcfay @EricGreitens @TeamG…,,,,,0,0,1,0
,2018-05-22T03:51:09,2,1,@Socialismsucks2 @Margare03880660 @lilydaisyjoy @RadioFreeAllman Screen capture them and post them here!  He's blocked all of us,,,,,-0.3382,0.138,0.862,0
,2018-05-22T03:43:02,2,0,@FOX2now We're getting clients out of Netflix starting tomorrow,,,,,0,0,1,0
,2018-05-22T03:42:04,1,0,.#DrainTheMissouriSwamp! https://t.co/JnWH7GsVcu,,,,,0,0,1,0
,2018-05-22T03:39:33,3,1,@HonkyTonkJew The Pink Panther is skulkin' about somewhere,,,,,0,0,1,0
,2018-05-22T02:42:06,2,0,@88YahamaKeys Yes but now #KimShady can be called by the defense LOLOLOLOL!!,,,,,0.4912,0,0.705,0.295
,2018-05-22T02:10:18,5,1,"@blackwidow07 @Markknight45 @magathemaga1 @VisioDeiFromLA @Avenge_mypeople @grcfay @EricGreitens @TeamGreitens @Rep_TRichardson @joel_capizzi @RSF_LAW @SKOLBLUE1 @RealTravisCook @EdBigCon @Hope4Hopeless1 @strmsptr @MOHouseGOP Seriously??  And I was just thinking how Missouri might have just saved face.  Wow, was I wrong",,,,,0.4871,0.121,0.704,0.175
,2018-05-21T23:37:05,1,0,"I'm beyond nerd now.  Watching LIVE! #Volcano action and eating some Creamette Salad (with @SPAMbrand ) 

https://t.co/A5nF9o3Vg7",,,,,-0.3595,0.142,0.858,0
,2018-05-21T23:17:31,11,8,"Oh Lort.  Another one.  

#HereWeGoAgainWithTheLies
#Greitens #GreitensTrial 

She's claiming RAPE when there isn't a victim or any evidence of anything other than consensual, B&amp;D sex https://t.co/nW7tphD9Ej",,,,,-0.6827,0.18,0.76,0.06
,2018-05-21T22:21:44,3,0,@Beatlebaby64 @88YahamaKeys 😲😲😲😲,,,,,0,0,1,0
,2018-05-21T22:09:48,2,0,Contributions?  Or Payola?? https://t.co/gluemkNwkU,,,,,0,0,1,0
,2018-05-21T22:08:23,3,0,@88YahamaKeys @Beatlebaby64 Oh how sad 😂😂😂,,,,,-0.4767,0.383,0.617,0
,2018-05-21T22:07:54,0,3,RT @88YahamaKeys: @magathemaga1 @ATeamMom1 @TheNewRight @Lautergeist @jallman971 @Aletheia_4Truth @gomurphy @Margare03880660 @juliematthews…,,,,,0,0,1,0
,2018-05-21T22:07:21,0,1,RT @sigi_hill: @Str8DonLemon @JohnLamping @EricGreitens @melody_grover @BigJShoota @Cernovich @NameRedacted7 @tracybeanz @Thomas1774Paine @…,,,,,0,0,1,0
,2018-05-21T20:44:59,3,0,@rachelz971 Someone over at Entercom's scratching their heads.  I sent SODA,,,,,0,0,1,0
,2018-05-21T20:44:07,2,0,"@JenEnnenbach @jenniferkrneta @Jimi971 @Beatlebaby64 @juliematthews50 4.5"" heels?!  I fall in flats! https://t.co/nj0y6uLLeO",,,,,0,0,1,0
,2018-05-21T20:43:03,1,0,What was the word @rachelz971 ?  My damn phone rang,,,,,-0.4019,0.252,0.748,0
,2018-05-21T19:54:33,7,2,"I'm down with that
#ImpeachObama
#ImpeachObama
#ImpeachObama
#ImpeachObama
#ImpeachObama
#ImpeachObama
#ImpeachObama
#ImpeachObama 
#ImpeachObama
#ImpeachObama
#ImpeachObama
#ImpeachObama 
#ImpeachObama
#ImpeachObama
#ImpeachObama
#ImpeachObama https://t.co/qGnEgUpldw",,,,,0,0,1,0
,2018-05-21T17:07:10,2,0,@Jimi971 @Beatlebaby64 @JenEnnenbach @juliematthews50 @jenniferkrneta LOLZ!!! 🤣🤣🤣,,,,,0.7437,0,0.531,0.469
,2018-05-21T16:57:48,0,0,"I'm all a-twitter!
❤️❤️❤️❤️❤️❤️ https://t.co/VEjKQHkgWU",,,,,0,0,1,0
,2018-05-21T16:56:44,2,0,"Right.  And sleeping with a cobra makes me sleep deeper, knowing no one's gonna rape me at night

#MoLeg #MoneyBagsAl #KimShady @stlcao @HereLiesMoon  #HereLIESMoon #Moon🌛 #greitens @EricGreitens #MoGov #TaxCreditScam @scottfaughn @staceynewman #StaveyKNEWMan https://t.co/RLvOU7KMDU",,,,,-0.7845,0.187,0.813,0
,2018-05-21T16:53:22,0,2,"RT @Beatlebaby64: I kinda wish we'd stop differentiating ""first woman, first Eskimo, first biracial transgender cloned Martian,"" and just f…",,,,,0.1206,0.091,0.797,0.113
,2018-05-21T16:52:36,0,0,"Sick, sick burn! https://t.co/ZqPDeUyFBJ",,,,,-0.784,0.775,0.225,0
,2018-05-21T16:51:55,4,1,"GANG ~ it was late last night when this thread from @Hume came out.  Read through, then RT individually w/your thoughts! 🙄

#ThugDismissed
#GamesPeoplePlay

@RadioFreeAllman #RFA https://t.co/dUUiCDoBA8",,,,,0,0,1,0
,2018-05-21T15:58:23,1,0,"@TheDiamondFam @markmeyer11 @jaredjewelelrs The beauty with the pendant on it!  Yep ~ Alex and (??forgot his name, dang it!) got me right. 

It's perfect.  Lots of comments on the unusual chain.",,,,,0.892,0,0.717,0.283
,2018-05-21T15:56:50,0,8,RT @sigi_hill: @Str8DonLemon @Mikelkehoe @mikeparson @Eric_Schmitt @MattStoneABC @blackwidow07 @Neilin1Neil @dbongino @DRUDGE @BillEigel @J…,,,,,0,0,1,0
,2018-05-21T15:56:36,1,1,Whose side is she on?! https://t.co/49kULWn77u,,,,,0,0,1,0
,2018-05-21T15:56:01,0,17,"RT @Str8DonLemon: What deal did @Mikelkehoe cut with @mikeparson to enable this coup in #Greitens 

Also LIHTC ????

Somebody should be fol…",,,,,-0.4696,0.127,0.873,0
,2018-05-21T15:55:20,4,1,@joel_capizzi @Str8DonLemon @RealTravisCook @Avenge_mypeople @JCPenknife @blackwidow07 @philip_saulter @HotPokerPrinces @TessonFerryGOP @LarrySchweikart @smart_hillbilly .#LadderBoy,,,,,0,0,1,0
,2018-05-21T15:54:26,1,0,@Beatlebaby64 @JenEnnenbach @Jimi971 @juliematthews50 @jenniferkrneta We have TWO!!,,,,,0,0,1,0
,2018-05-21T13:53:47,0,7,RT @RadioFreeAllman: Calling all @jallman971 followers come on over to the new ‘RFA Twitter!! Thank you !,,,,,0.5229,0,0.816,0.184
,2018-05-21T13:51:26,0,5,RT @RadioFreeAllman: Good times at #RadioFreeAllman! https://t.co/kyFjjALDDe,,,,,0.4926,0,0.653,0.347
,2018-05-21T13:42:52,1,0,@kbailey971  https://t.co/1mcKmLnoYE,,,,,0,0,1,0
,2018-05-21T13:37:08,2,0,@Bren05_ @Beatlebaby64  https://t.co/KG7xt3OxnP,,,,,0,0,1,0
,2018-05-21T13:35:33,1,0,"It's SO friggin' cold in my office, I'm going to put the baseboard radiator on in Tim's office and sit there &amp; warm up!",,,,,0.2942,0,0.913,0.087
,2018-05-21T13:33:58,1,0,"Hillary thinks she's so effing funny, rubbing our noses in her stinking pile of Russian horseshit while speaking at Yale

@HillaryClinton
#CUNextTuesday https://t.co/3cK7nzwRsH",,,,,0.0184,0.122,0.753,0.125
,2018-05-21T13:31:57,4,0,"This is so you @TheNewRight 

@RadioFreeAllman #RFA https://t.co/wo3q7vWJeK",,,,,0,0,1,0
,2018-05-21T12:49:30,2,0,"Funny, but sad.

Except I've met most y'all.  And some of you are definitely STRANGER 

#AttentionWhore https://t.co/Wv8vMQQumF",,,,,0.09,0.175,0.592,0.233
,2018-05-21T12:48:19,4,1,"Please God, let this happen in my lifetime https://t.co/sCwF50nVWP",,,,,0.5267,0,0.614,0.386
,2018-05-21T04:05:51,0,0,Holy hell...the payoff is worth it https://t.co/JlbbFCFWRC,,,,,0.2263,0,0.759,0.241
,2018-05-21T03:03:53,1,0,@AskPadre @RadioFreeAllman Looks good on you Padre!,,,,,0.4926,0,0.653,0.347
,2018-05-21T03:03:24,1,0,"Because he's FISCALLY RESPONSIBLE

@AP4Liberty 
#AustinPetersenForSenate
#FireClaire🔥 https://t.co/iPIvpp8zPy",,,,,0.4648,0,0.698,0.302
,2018-05-21T03:01:46,1,0,OMG DO IT I DOUBLE-DOG DARE YOU! https://t.co/1HVaIYbJS1,,,,,0,0,1,0
,2018-05-21T03:00:01,0,88,RT @you: @realDonaldTrump Do you believe Donald?,,,,,0,0,1,0
,2018-05-21T02:59:23,5,1,Hume's Fan Club 🤘🤘 https://t.co/FYzSW3jLkx,,,,,0.3182,0,0.635,0.365
,2018-05-21T02:58:19,1,1,"@KyleKashuv Just betting you'll have a whole mailbox full of college offers unlike some others in your school in the public's eye

Nice work young man!",,,,,0.4753,0,0.886,0.114
,2018-05-21T02:56:25,1,0,.#PeterSENForSENate !!! https://t.co/nwDTz0e3MN,,,,,0,0,1,0
,2018-05-21T02:47:38,3,2,@RadioFreeAllman @hume Let's see if he answers that 2am phone call.,,,,,0,0,1,0
,2018-05-21T02:45:51,4,0,@RadioFreeAllman @hume Would be interesting to hear his voice read those Tweets ...,,,,,0.4019,0,0.816,0.184
,2018-05-21T01:37:04,2,0,@jenniferkrneta @shockerdom2 @muellersaide @RadioFreeAllman No shit ~,,,,,-0.7003,0.592,0.408,0
,2018-05-21T01:36:24,2,0,"Wait a second.  I know this guy!  I've seen this before ...

#RFA #RadioFreeAllman
@RadioFreeAllman

#SomeoneHasAManCrush
#TrollDismissed
#ButtFetishMuchDave https://t.co/4g3RR0x65A",,,,,0,0,1,0
,2018-05-21T01:34:12,1,1,"Ooooh, something tells me we're about to have #TheBigReveal

@shockerdom1
@shockerdom2
@muellersaide
@ ?????

#RFA #RadioFreeAllman
@RadioFreeAllman https://t.co/PWv9c1Kkcb",,,,,0,0,1,0
,2018-05-21T01:31:26,1,0,"ANOTHER account?!  My God, this guy wasn't kidding!  

@AlmanFree @shockerdom1 @shockerdom2  &amp; @Muellersaide?

Is this cat on FB talking like this to teen girls in his hood?  

#RadioFreeAllman 
#SomeoneHasAManCrush
#Dipshidiot
#TrollDismissed

@RadioFreeAllman https://t.co/SZAWfoftX8",,,,,0.6628,0.035,0.81,0.155
,2018-05-21T01:25:29,0,0,"Retweet without further comment because what @AlmanFree @shockerdom1 @muellersaide said was beyond heinous.  

Only a really fat, partially bearded, bald, ugly guy probably molested by his mom could say such a thing about someone else's mom https://t.co/N6KDHVyV14",,,,,-0.7351,0.158,0.842,0
,2018-05-21T01:21:19,1,0,@TheNewRight @Kleenex @RadioFreeAllman Too far? 🙄,,,,,0,0,1,0
,2018-05-21T01:17:41,1,1,"I've seen this profile before, so now we have @AlmanFree @shockerdom1 AND @Muellersaide? 

What other accounts does he have?  What does this guy do for a living that he can diddle 1k accounts, among other things

#RFA #RadioFreeAllman
#SaulGoodMan
#TrollDismissed https://t.co/810QaiNoVw",,,,,0,0,1,0
,2018-05-21T01:13:38,2,1,".#Cults, #Racism, #HatefulViews

As my momma would say, ""You hate in yourself that which you hate in others"".  Basically #transference

#TrollDismissed #RFA
#SomebodysGotAManCrush
#GamesPeoplePlay https://t.co/iv2tygZC5G",,,,,-0.8126,0.243,0.757,0
,2018-05-21T01:08:20,5,2,".#Pfffffffffftttt I can't even surpass @Hume's comment here

 @AlmanFree or @shockerdom1
 or whatever he calls himself 

#TrollDismissed 
#SaulGoodMan
#ButtFetishMuchDave

@RadioFreeAllman #RFA https://t.co/yUwfmKYNHJ",,,,,0,0,1,0
,2018-05-21T00:56:50,4,0,"Keeping those hands busy with 1k accounts sure beats joeying to your nemesis visage, right @shockerdom1 @Kleenex

@RadioFreeAllman #RFA #RadioFreeAllman

#TrollDismissed #GamesPeoplePlay https://t.co/rNRAnES067",,,,,0.3182,0,0.905,0.095
,2018-05-21T00:39:55,1,1,"Like a #SNLSkit #ImALawyer #SaulGoodMan #Dipshidiot 

#StreetOfDreams
@RadioFreeAllman  #RFA
#RadioFreeAllman
#HotPokerTweetGang
#TrollDismissed https://t.co/WOjfBUd1PC",,,,,0.3612,0,0.815,0.185
,2018-05-21T00:34:02,1,0,"Why, @Hume?  #PrayTell

#TrollDismissed
#ParodyAccount101
#GamesPeoplePlay

@RadioFreeAllman #RFA
#RadioFreeAllman https://t.co/KYKNj5qHM3",,,,,0,0,1,0
,2018-05-21T00:32:04,2,1,"When @Hume is bored, s/he will find SOMETHING to do

This #Dipshidiot thinks he's so fucking genius with his #FakeAccount, trying to pass himself off as the REAL @RadioFreeAllman #RFA

#GamesPeoplePlay
#TrollDismissed
@shockerdom1 https://t.co/dzy3WqSzKN",,,,,-0.2732,0.06,0.94,0
