id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-22T13:03:54,2,0,"@magathemaga1 @VisioDeiFromLA @JW1057 @HotPokerPrinces @Neilin1Neil @Norasmith1000 
@sigi_hill @SKOLBLUE1 @YearOfZero @Avenge_mypeople 
@RadioFreeAllman @JohnLamping @jrosenbaum @Hope4Hopeless1 @blackwidow07",,,,,0,0,1,0
,2018-05-22T12:56:30,4,1,"The money flows through these PAC Groups
Congratulations you bought &amp; paid for puppets 
#moleg https://t.co/WbsmT81Rh8",,,,,0.5994,0,0.794,0.206
,2018-05-22T12:51:14,0,0,@ResignNowKim @ksdknews @SheenaGreitens @jeanpetersbaker More wasted tax dollars,,,,,-0.5413,0.333,0.667,0
,2018-05-22T12:45:21,14,10,"ITS NOT OK FOR YOU TO MAKE YOUR DONORS MILLIONAIRES!     
 
Todd Richardson 
Caleb Rowdan 
Shamed Dogan
Nicholas Schroer 
Elijah Haahr 
Jamilah Nasheed 
Eric Schmitt 
Doug Libla 
kathie Conway
Jeanie Lauer 
Rep. J. Eggleston
Rep. Curtis Trent
 
 #Greitens #LIHTC #WitchHunt #moleg https://t.co/ywvOqNn25C",,,,,-0.2404,0.085,0.851,0.064
,2018-05-22T12:37:23,5,5,"@Sticknstones4 @HotPokerPrinces So Far MEC Filings show these Legislators took 
Low Income Housing Tax Credit  $ #Moleg 

Todd Richardson 
Caleb Rowdan 
Shamed Dogan
Nicholas Schroer 
Elijah Haahr 
jamilah Nasheed 
Eric Schmitt 
Doug Libla 
kathie Conway
Jeanie Lauer 
Rep. J. Eggleston
Rep. Curtis Trent",,,,,-0.4767,0.121,0.825,0.055
,2018-05-22T12:30:55,2,2,@ksdknews Can not testify to a phone !   Kim Gardner should have stopped right there .   There is nothing but wasted take dollars,,,,,0.508,0.063,0.776,0.161
,2018-05-22T12:22:51,0,4,RT @Norasmith1000: @VisioDeiFromLA She said her memory of seeing a phone wasn't strong enough to actually testify to it?! If she told Gardn…,,,,,-0.4577,0.125,0.875,0
,2018-05-22T12:22:10,0,17,"RT @magathemaga1: The problem is the house lied. 

They can’t establish credibility as THEY NEVER EVEN CROSS EXAMINED THE WITNESS 

House t…",,,,,-0.6486,0.209,0.791,0
,2018-05-22T12:20:53,9,7,"This is not a woman that was sexually assaulted !  This was a consensual affair
Brought to light by political operatives that could not control the governor!

The special interests have no regard for people only their profits  $$$

LIHTC are Corrupt Greedy Evil

#greitens #moleg https://t.co/ur0Km4kanx",,,,,-0.7418,0.224,0.644,0.132
,2018-05-22T12:14:56,0,33,RT @robert_enna: What a waste of my taxpayer dollars. I won’t forget republican turncoats either. If you didn’t support the gov then you wo…,,,,,-0.25,0.178,0.72,0.102
