id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-30T14:59:36,0,0,11 Minutes was too long. 😢 “People believe in the 2nd Amend. because they dont want safety &amp; security of their friends &amp; families to depend upon bravery of others. They arent willing to put the lives of those dear to them or their own at risk...” #2A https://t.co/N3iJg9xjOq,,,,,0.8292,0.063,0.739,0.199
,2018-05-30T14:50:55,0,0,https://t.co/JXBrpuCeHQ,,,,,0,0,1,0
,2018-05-30T14:34:24,0,10540,"RT @wikileaks: Leaked email shows that Harvey Weinstein colluded with Clinton campaign manager @RobbyMook in an effort to ""silence"" Erica G…",,,,,-0.3182,0.103,0.897,0
,2018-05-30T14:33:39,0,1152,RT @ggreenwald: Amazing how -  5 years after he got caught blatantly lying to the country &amp; the Senate about NSA domestic spying - James Cl…,,,,,0.1027,0.121,0.745,0.135
,2018-05-30T14:28:46,0,57,"RT @LarrySchweikart: Note: DemoKKKrats warning Mulehead not to announce anything before midterms.

Gee, why would they do that? I thought h…",,,,,-0.34,0.112,0.888,0
,2018-05-30T14:28:26,0,72,"RT @LarrySchweikart: NYSlimes completely misses the story when they get one fact right. 

Sessions IS a witness. 

But not against Trump. S…",,,,,-0.2944,0.099,0.901,0
,2018-05-30T14:28:07,0,293,RT @WiredSources: JUST IN: Swiss bank BCP follows in footsteps of Germany's No.2 lender DZ Bank to halt all financial transactions with Ira…,,,,,0,0,1,0
,2018-05-30T14:26:52,0,7,RT @SteveBond2727: @KrisParonto @Lstoud1 @ValerieJarrett @BarackObama @ABCNetwork Kris as usual you are right on target. Plus Obama listene…,,,,,0,0,1,0
,2018-05-30T14:26:29,0,8,"RT @SteveSGoddard: Climate alarmist calls me a ""liar and moron"" for quoting the IPCC.   ROFL. https://t.co/w3pnYjasHm",,,,,-0.2656,0.283,0.523,0.193
,2018-05-30T14:25:52,0,11608,RT @w_terrence: Roseanne got canceled but Bill Maher said the N-Word and he still has a show? Making fun blacks being House Slaves was okay…,,,,,0.6652,0,0.838,0.162
,2018-05-30T14:25:41,0,5,RT @Eliza_4_God: @R3Thorns @realDonaldTrump Everyone who voted Travis should take a ballot photo &amp; proudly pin it to their profile because…,,,,,0.5574,0,0.841,0.159
,2018-05-30T14:25:02,0,11,RT @WarriorsFake: @RMConservative @KurtSchlichter Remember that while you are in the voting booth!  🇺🇸💪🏻,,,,,0,0,1,0
,2018-05-30T14:25:01,0,443,"RT @RMConservative: All but 11 Dems voted against expedited deportations exclusively for MS-13 and other criminal alien gangs. Yes, the par…",,,,,-0.2617,0.169,0.7,0.131
,2018-05-30T13:55:31,0,2,RT @usacsmret: COMMENTARY: The heat gets turned up on Barack Obama https://t.co/ynbUAWzZWa via @reviewjournal,,,,,0,0,1,0
