id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-22T16:28:14,4,4,"The more the MEDIA complain and criticize President Trump, the higher his approval numbers go!  It's an inverse relationship!  Just look at the roaring economy, trade, border security, higher wages! Media refuses to report on all the great news! #MAGA",,,,,0.751,0.105,0.685,0.211
,2018-05-22T16:26:00,0,723,"RT @SandraTXAS: Panic 💥
Trump tweets and the guilty came out screeching 😂😂
Sally Yates
John Brennan
Mark Warner
Adam Schiff
Eric Holder
Dia…",,,,,-0.7269,0.225,0.775,0
,2018-05-22T16:20:26,4,1,"Has it been confirmed that John Brennan converted to Islam?  If so, that explains why he lies so easily.  It's my understanding Muslims are encouraged to lie to non-Muslims.",,,,,0.4246,0.081,0.755,0.163
,2018-05-22T16:18:18,2,1,"Clapper said if we suspected Russian interference, spying on Trump campaign was a good thing.  What?!?  #ArrestClapper",,,,,0.3923,0.098,0.72,0.183
,2018-05-22T16:16:32,7,2,Sally Yates criticizing Trump for calling for an investigation of the investigators --&gt; this is the woman who took the law into her own hands when she defied the president's orders.,,,,,-0.3612,0.077,0.923,0
,2018-05-22T16:07:32,4,1,"When We Find Out the Truth about the Obama Admin &amp; spying on Trump campaign &amp; other individuals, ‘Clapper and the rest of them’ Will Be Wearing Orange Suits. https://t.co/VkyO4nJUOQ",,,,,0.3182,0,0.927,0.073
,2018-05-22T16:06:01,3,2,Fmr Trump Adviser Caputo: More Than One Informant From an Obama Agency Approached the Campaign | Breitbart https://t.co/VkyO4nJUOQ via @BreitbartNews,,,,,0,0,1,0
,2018-05-22T16:04:10,2,0,White South African farmers claiming persecution at home seek refuge in Australia — RT Business News https://t.co/GLDHfQ6f18,,,,,0,0,1,0
,2018-05-22T16:03:34,2,3,"Venezuelans buy bus tickets out after Maduro wins re-election.  Isn't Socialism grand?
https://t.co/aGbnoxdFjM",,,,,0.3004,0.144,0.64,0.215
,2018-05-22T16:02:10,0,0,ACLU: Amazon shouldn't sell face-recognition tech to police - ABC News - https://t.co/DxD7eBwjjj via @ABC,,,,,0.1779,0,0.876,0.124
,2018-05-22T16:01:47,0,2,RT @franmudm: https://t.co/v0zZr2jR3e,,,,,0,0,1,0
,2018-05-22T16:01:41,0,1281,"RT @DiamondandSilk: Just In: DOJ Finally Caves, Agrees To Hand Over Documents To Congress.  
Time to investigate the investigators. https:/…",,,,,0.6124,0,0.783,0.217
,2018-05-22T16:01:23,12,5,"Isn't it time Robert Mueller brought in Obama for questioning, about what he knew and what he ordered? Seems the crime here starts at the top with Fmr Pres Obama. #VoteDemsOUT",,,,,-0.4767,0.141,0.807,0.052
,2018-05-22T16:00:14,1,0,"Another 'informant' attempted to infiltrate Trump campaign under Obama, campaign aide says https://t.co/iNSzfZ6i8E #FoxNews",,,,,0,0,1,0
,2018-05-22T06:46:49,1,2,U.S. Trade Team to Head Back to China After Agreement to Reduce Trade Deficit https://t.co/IfuWfHQAE3,,,,,0.128,0.143,0.688,0.169
