id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-17T22:06:26,0,2,"RT @Sticknstones4: @KMOV When are these witch hunts going to end ? 
Jay Barnes never sued his buddy Scott Faughn 
for not complying to his…",,,,,-0.3612,0.098,0.902,0
,2018-05-17T21:55:18,0,0,"@ws_missouri @blackwidow07 @Sticknstones4 @SKOLBLUE1 @Mizzourah_Mom @Avenge_mypeople @HennessySTL @EdBigCon @kmoxnews @stltoday @RiverfrontTimes @ChrisHayesTV @tonymess (5) what you’ll find Will, is that many many many #moleg will have to recuse themselves in the #SpecialSession.  The numbers, I predict, will be staggering.  #mogov  you should also start asking the legislators to start voluntarily disclosing it to you. https://t.co/qqNBaCUDn1",,,,,0,0,1,0
,2018-05-17T21:52:52,1,0,"@ws_missouri @blackwidow07 @Sticknstones4 @SKOLBLUE1 @Mizzourah_Mom @Avenge_mypeople @HennessySTL @EdBigCon @kmoxnews @stltoday @RiverfrontTimes @ChrisHayesTV @tonymess (4) you and he news leader should publish a list of every legislator who received either LIHTC pac money or other tax credit pac money, and publish the amounts to each rep and senator for past two cycles.  If you want help w research, we will help you. But you’d have to commit. https://t.co/w06gia0Kie",,,,,0.8591,0,0.839,0.161
,2018-05-17T21:50:13,2,0,"@ws_missouri @blackwidow07 @Sticknstones4 @SKOLBLUE1 @Mizzourah_Mom @Avenge_mypeople @HennessySTL @EdBigCon @kmoxnews @stltoday @RiverfrontTimes @ChrisHayesTV @tonymess (3) THAT’S why we’re so pissed off.  A huge # of #moleg are conflicted out from this #SPECIALSESSION bc their major donors are mad as hell not only about the $150 annually that @EricGreitens cut, but their mad and scared he might dig into the remaining $400M annual that remains. https://t.co/UHaAXkZXVq",,,,,-0.9433,0.238,0.738,0.024
,2018-05-17T21:47:31,1,0,@ws_missouri @blackwidow07 @Sticknstones4 @SKOLBLUE1 @Mizzourah_Mom @Avenge_mypeople @HennessySTL @EdBigCon @kmoxnews @stltoday @RiverfrontTimes @ChrisHayesTV @tonymess (2) there’s also lists campaign donations to each candidate over every Q for past several years.  Parsons got &gt;$10k last yr &amp; maybe more from LIHTC donors. Haahr got ~ 20% (!) of money in 2017 from LIHTC pacs. &amp; he took in nearly $200k total. #moleg is swimming in these donations https://t.co/FTeIoWJCIY,,,,,0,0,1,0
,2018-05-17T21:43:11,1,0,@ws_missouri @blackwidow07 @Sticknstones4 @SKOLBLUE1 @Mizzourah_Mom @Avenge_mypeople @HennessySTL @EdBigCon @kmoxnews @stltoday @RiverfrontTimes @ChrisHayesTV @tonymess (1) Will: I actually appreciate that you’re doing that.  But you’re kind of spending time describing the water conditions as a man gets pulled under by a crocodile.  At this juncture you don’t need to understand the business model. There’s a list of LIHTC recipients. #moleg,,,,,0.4019,0,0.952,0.048
,2018-05-17T21:39:08,1,1,"@ws_missouri Indeed! You and your paper (more of a rag, though, let’s be honest) have numerous anti-fans.  Were you surprised or did you have a larger point? #WeakSauceWill https://t.co/B74mcYPLMk",,,,,0.2942,0,0.922,0.078
,2018-05-17T21:29:00,0,1,"RT @SL_OKC: #1995

I used Shazam to discover Since U Been Gone by Kelly Clarkson. https://t.co/0xOmHICFwC",,,,,0,0,1,0
,2018-05-17T21:27:06,0,2,RT @blackwidow07: @ResignNowKim @joelcurrier @stlcao @ChristineDByers @HennessySTL @RiverfrontTimes @KMOV @SKOLBLUE1 @EdBigCon @MariaChappe…,,,,,0,0,1,0
,2018-05-17T21:00:29,0,1,RT @ResignNowKim: @Mizzourah_Mom @ws_missouri @Avenge_mypeople @HennessySTL @EdBigCon @kmoxnews @stltoday @blackwidow07 @SKOLBLUE1 @Stickns…,,,,,0,0,1,0
,2018-05-17T21:00:21,0,2,RT @ResignNowKim: Missouri House of Representatives: Urgent! Stop the Coup Against Gov. Eric Greitens - Sign the Petition! https://t.co/DJk…,,,,,-0.2462,0.135,0.777,0.087
,2018-05-17T21:00:14,0,2,"RT @ResignNowKim: @joelcurrier @stlcao @ChristineDByers Where the hell did the extra $400,000 the BOA gave #kimshady go? @stlcao ????!! #WH…",,,,,-0.7989,0.244,0.756,0
,2018-05-17T21:00:06,0,1,RT @ResignNowKim: @ChrisHayesTV Chris: start demanding #moleg full disclosure of #TAXCREDITQUEEN campaign donations . They must avoid any c…,,,,,-0.4767,0.204,0.796,0
,2018-05-17T21:00:01,0,2,RT @ResignNowKim: @ws_missouri Will: you should start asking all #moleg if they’re going to voluntarily and transparently disclose all of t…,,,,,0,0,1,0
,2018-05-17T20:59:57,0,1,RT @ResignNowKim: @MSTLGA  https://t.co/oX5l8lFAen,,,,,0,0,1,0
,2018-05-17T20:59:52,0,2,RT @ResignNowKim: @HennessySTL #moleg needs to disclose their tax credit queen donations. Now! #mogov https://t.co/OKgCj2e16I,,,,,0.4389,0,0.829,0.171
