id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-22T15:34:14,0,0,"It's funny you wont address the fact that I'm pointing out facts that make this interview even worse for coup people

You just act like we should just believe this because you say so.

Address the facts.

#moleg #MoGov #greitens

@KevinCorlew @BillEigel @SaraForMissouri https://t.co/rF0BNAOPB9",,,,,0.3182,0.063,0.828,0.109
,2018-05-22T15:32:03,1,0,"""My memory isnt reliable enough to testify""

She lied about the stacey Newman part.

Also her explanation of why she went back is plausible deniability.

She went back because she wanted to. I dont have an issue. She can make her own choices. But dont lie about it.

#moleg #MoGov https://t.co/rF0BNAOPB9",,,,,-0.3818,0.05,0.95,0
,2018-05-22T15:30:17,0,3,"RT @Str8DonLemon: She was never credible to begin with

Her testimony from house to criminal was different meaning she lied.

Also she told…",,,,,-0.7184,0.222,0.778,0
,2018-05-22T14:38:19,0,5,"RT @YearOfZero: She lied several times during the intervene and also admitted her memory isn’t reliable.

#moleg #mogov #greitens 

@Missou…",,,,,-0.296,0.118,0.818,0.064
,2018-05-22T14:38:14,0,7,"RT @JW1057: @971FMTalk @MarcCox971 Summary: Kitty hates the @EricGreitens for not leaving Sheena and making her the first lady. 
#moleg #mo…",,,,,-0.4404,0.127,0.873,0
,2018-05-22T14:38:04,0,5,"RT @MSTLGA: This is not a woman that was sexually assaulted !  This was a consensual affair
Brought to light by political operatives that c…",,,,,-0.5707,0.15,0.85,0
,2018-05-22T14:37:59,0,3,"RT @MSTLGA: @Sticknstones4 @HotPokerPrinces So Far MEC Filings show these Legislators took 
Low Income Housing Tax Credit  $ #Moleg 

Todd…",,,,,0.128,0.097,0.783,0.12
,2018-05-22T14:37:54,0,1,"RT @MSTLGA: The money flows through these PAC Groups
Congratulations you bought &amp; paid for puppets 
#moleg https://t.co/WbsmT81Rh8",,,,,0.5994,0,0.813,0.187
,2018-05-22T14:36:39,0,5,"RT @Lautergeist: Come on #MoLeg!  This is NOT what we hired you to do!  #ElectionsHaveConsequences

We were on to your shenanigans and hire…",,,,,0,0,1,0
,2018-05-22T14:36:23,3,3,"She was never credible to begin with

Her testimony from house to criminal was different meaning she lied.

Also she told a few lies last night

Also ""the memory I have isnt reliable enough to testify""

Hey @Rep_TRichardson we know what's going on. A scam!

#moleg #mogov #MOSen https://t.co/3hSrFgja4Y",,,,,-0.9151,0.233,0.767,0
,2018-05-22T14:34:13,0,2,"RT @JW1057: @jmannies No expectation of privacy when you get naked in common area of another person's home. 
#moleg #mogov #greitens #Greit…",,,,,-0.296,0.095,0.905,0
,2018-05-22T14:34:06,3,0,"""The memory I have isnt reliable enough to testify to""

Dude you are hilarious. This interview was horrible for her.

Also funny how usual suspects are pushing this, despite it making her look worse.

Yo @Eric_Schmitt tell your boys to stop the coup. Woman lying

#moleg #mogov https://t.co/zudwUnNE6E",,,,,-0.8402,0.243,0.664,0.093
,2018-05-22T14:31:32,0,0,"Lol.... 

Dude that interview made her even less credible 

#moleg #mogov #greitens https://t.co/t8UUCMJDtM",,,,,0,0,1,0
,2018-05-22T14:29:13,0,9,"RT @MSTLGA: ITS NOT OK FOR YOU TO MAKE YOUR DONORS MILLIONAIRES!     
 
Todd Richardson 
Caleb Rowdan 
Shamed Dogan
Nicholas Schroer 
Elija…",,,,,-0.2404,0.151,0.736,0.114
,2018-05-22T14:28:56,0,12,"RT @MissouriLiberty: 3 Day Poll

Who is your pick to #fireclaire in the HOT Missouri Senate Race?

#MOSen #MOLeg #MOGov #MO #poll",,,,,0,0,1,0
