id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-30T05:43:48,5,2,"Isn’t the same guy who was banging same hairdresser &amp;  cheating on his wife and the media refuses to cover? 

Voters ain’t forgetting this. We voted for an outsider &amp; we ain’t accepting GOP or DEM bs.

I will never support party that puts illegals over Americans 

#moleg #mogov https://t.co/t77zN9xR5g",,,,,-0.6722,0.146,0.808,0.047
,2018-05-29T07:43:16,1,1,@RealTravisCook #spygate https://t.co/9de5BvLJw4,,,,,0,0,1,0
,2018-05-29T02:31:50,0,6565,"RT @ScottPresler: CALIFORNIA,

If you're fed up with the rising homeless population, if you're fed up with the gas tax, if you're fed up wi…",,,,,0,0,1,0
,2018-05-29T02:31:30,2,0,"@Vets4AP @KcoachcCoach @JackPosobiec She wins if republicans in state aren’t excited.

Hawley sure is making a good case for not exciting them. 

Also backstabbing EG over clearly fake charges 4 low income tax credit lobby doesn’t help him. 

Haven’t seen Hawley at Lincoln days. Saw @AP4Liberty and @SykesforSenate",,,,,0.8581,0.154,0.529,0.317
,2018-05-29T02:28:13,0,4,RT @ThatsMy55: @JackPosobiec We know for sure Greitens upset several of the low income housing beneficiaries.  His accuser seems to have a…,,,,,0.1027,0.169,0.647,0.183
,2018-05-28T23:43:36,0,1082,"RT @RealSaavedra: Media lies in last 2 weeks:

-Israel killing civilians
-School shooter using assault weapon
-Trump calling immigrants ani…",,,,,-0.9217,0.468,0.532,0
,2018-05-28T23:43:27,0,47,"RT @KurtSchlichter: Badass!

They Were Heroes Too: Eight U.S. Military Chaplains Who Made the Ultimate Sacrifice https://t.co/ylV9gyNVnA #F…",,,,,0.4574,0.076,0.755,0.169
,2018-05-28T23:43:18,0,86,RT @nwsltrMe: Any Normal Americans surprised that Obama tweeted a picture of himself on Memorial Day? https://t.co/cEpromFeFV,,,,,0.2263,0,0.888,0.112
,2018-05-28T23:42:59,0,17,RT @KurtSchlichter: Liberals want to silence speech https://t.co/dPokuofnLg,,,,,0.0772,0,0.843,0.157
,2018-05-28T23:42:46,0,2,RT @KurtSchlichter: Go get it! https://t.co/E34IhqvePX,,,,,0,0,1,0
