id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-22T13:41:21,2,1,@AlabamaPopulist @Hope4Hopeless1 @LylaRTurner @EricGreitens @POTUS @realDonaldTrump @POTUS_Schedule @GovGreitensMO @SykesforSenate It's called righteous indignation which you know nothing about.,,,,,-0.5267,0.167,0.833,0
,2018-05-22T13:40:36,0,13,RT @Hope4Hopeless1: @LylaRTurner @EricGreitens @POTUS @realDonaldTrump @POTUS_Schedule @GovGreitensMO Nope! I'm one PISSED OFF real FLESH &amp;…,,,,,-0.7371,0.258,0.742,0
,2018-05-22T13:38:45,1,0,@bigricanman @womensmarch Mandatory death penalty for cop killers.,,,,,-0.8979,0.679,0.242,0.079
,2018-05-22T13:37:55,0,20,"RT @bigricanman: @womensmarch Are you going to demand justice for the murderer of #DebraClayton who was a black, female police officer exec…",,,,,-0.4019,0.222,0.655,0.124
,2018-05-22T13:37:31,0,11,"RT @SykesforSenate: You're a fool. Democrats have grown so accustomed to their corrupted ""police state"" justice system that they no longer…",,,,,-0.1779,0.2,0.667,0.133
,2018-05-22T13:37:24,0,6,RT @Nov2018election: @BigLeague2020 @TracyJordan4GA #JORDAN4GA https://t.co/fKxsVyJ5Xp,,,,,0,0,1,0
,2018-05-22T13:37:04,0,8,"RT @BigLeague2020: #DrainTheSwamp is not just a Hashtag, it’s a movement.

#GAPOL today is your day to #DrainTheSwamp.

VOTE @TracyJordan4G…",,,,,0,0,1,0
,2018-05-22T13:18:30,2,2,"Mandatory death penalty for cop killers.

https://t.co/hDVLGqnYgI",,,,,-0.8979,0.723,0.194,0.084
,2018-05-22T13:13:32,0,3,RT @LuannKeller: @Nov2018election @VFL2013 Please Don't JUST vote.  Know the issues..not just the headlines.  Know the campaign promises.…,,,,,0.3182,0,0.881,0.119
,2018-05-22T13:13:24,0,10,"RT @940_Lady_H: @Nov2018election YOUR VOICE. ASK FOR PAPER BALLOT! 🇺🇸 VOTE RED!!

🛑#RedWaveRising2018 https://t.co/uNEwseODQp",,,,,0,0,1,0
,2018-05-22T13:13:15,0,19,RT @HDowning113: @Nov2018election Please VOTE TODAY🇺🇸🇺🇸 https://t.co/1H4lgxYdLX,,,,,0.3182,0,0.723,0.277
,2018-05-22T13:13:12,0,86,"RT @Nov2018election: VOTE IN YOUR PRIMARY TODAY!

✔️ GEORGIA 
✔️ARKANSAS 
✔️KENTUCKY 
✔️TEXAS RUNOFFS 

#JUSTVOTE #PRIMARYDAY https://t.co/…",,,,,0,0,1,0
,2018-05-22T13:11:18,2,0,"@SiddonsDan @NancyPelosi @OliverMcGee @realDonaldTrump Is it me? Nancy, calls them ""illegals"" then says they don't break the law.",,,,,0,0,1,0
,2018-05-22T12:51:56,0,0,"Really? Equal time. How bout we hire Patricia Heaton to make a movie portraying Monica Lewinsky?

https://t.co/dJF6ImLdj3",,,,,0,0,1,0
,2018-05-22T04:46:26,0,204,"RT @CHIZMAGA: Carlsbad, CA votes 4-1 OPPOSING Governor Brown’s Sanctuary State Laws!

Congrats Citizens of Carlsbad!",,,,,0.6103,0,0.79,0.21
,2018-05-22T04:46:15,0,14,RT @JW1057: @RealTravisCook @blackwidow07 @Markknight45 @magathemaga1 @VisioDeiFromLA @Avenge_mypeople @grcfay @EricGreitens @TeamGreitens…,,,,,0,0,1,0
,2018-05-22T04:46:00,0,17,"RT @magathemaga1: The problem is the house lied. 

They can’t establish credibility as THEY NEVER EVEN CROSS EXAMINED THE WITNESS 

House t…",,,,,-0.6486,0.209,0.791,0
,2018-05-22T04:45:40,0,14,"RT @Avenge_mypeople: Look, this special prosecutor is so biased, she would be good with convicting men by using anonymous women. That works…",,,,,0.5079,0.099,0.684,0.217
,2018-05-22T04:45:16,0,6,RT @blackwidow07: @VisioDeiFromLA @RealTravisCook @Markknight45 @magathemaga1 @Avenge_mypeople @grcfay @EricGreitens @TeamGreitens @Rep_TRi…,,,,,0,0,1,0
,2018-05-22T04:45:10,0,2,RT @RealTravisCook: @blackwidow07 @Markknight45 @magathemaga1 @VisioDeiFromLA @Avenge_mypeople @grcfay @EricGreitens @TeamGreitens @Rep_TRi…,,,,,0,0,1,0
,2018-05-22T04:44:58,0,2,RT @VisioDeiFromLA: @RealTravisCook @blackwidow07 @Markknight45 @magathemaga1 @Avenge_mypeople @grcfay @EricGreitens @TeamGreitens @Rep_TRi…,,,,,0,0,1,0
,2018-05-22T04:13:22,0,6,RT @Hope4Hopeless1: @RealTravisCook @blackwidow07 @Markknight45 @magathemaga1 @VisioDeiFromLA @Avenge_mypeople @grcfay @EricGreitens @TeamG…,,,,,0,0,1,0
,2018-05-22T03:10:17,0,14,"RT @magathemaga1: @Avenge_mypeople @grcfay @EricGreitens #moleg #greitens #mogov

The woman already prejudged the case!

hope @TeamGreitens…",,,,,0.4926,0,0.825,0.175
,2018-05-22T02:04:28,3,2,"@USANEWS007 My mother's white.

Swear on a stack of Qur'ans I'm not lying.",,,,,0.3769,0.086,0.716,0.199
,2018-05-22T01:41:01,2,0,"@David_Hogg16 @davidhogg111 You're an American hero yourself David. You held your head high, weathered a terrible storm, and any veteran would be proud to have a young man like you as a friend.",,,,,0.8519,0.077,0.617,0.306
