id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-29T22:59:25,3,0,"So disappointed no more rosanne, those damn liberals get to say and do anything they want.",,,,,-0.8193,0.399,0.542,0.059
,2018-05-29T22:57:43,0,0,"@Markknight45 None of this has been fair, it’s infuriating 🤬😡",,,,,-0.2732,0.248,0.584,0.168
,2018-05-29T22:57:13,0,1,RT @Markknight45: @kendylei What a fuckin bitch,,,,,-0.5859,0.432,0.568,0
,2018-05-29T22:56:26,1,0,@sharonkingsmill @sreednak Kid deserved it!,,,,,0,0,1,0
,2018-05-29T22:55:36,1,1,@DJamesHoward1 @sreednak My question is ? Who took this pic?,,,,,0,0,1,0
,2018-05-29T22:55:07,0,0,"@DJamesHoward1 @sreednak Hopefully not! Mom and dad better teach that kid not to hurt animals, especially if they’re going to leave it alone with one.",,,,,0.7556,0.1,0.628,0.272
,2018-05-29T22:51:13,2,1,"Please fire this corrupt biotech!! We know that won’t happen, she did exactly what corrupt krewson and mcCaskill wanted her to do. They are running stl mo straight into the ground.",,,,,0.3365,0.068,0.796,0.136
,2018-05-29T22:44:20,0,1,"RT @mikaOnPoint: ""You cannot turn a Donkey into a Thoroughbred."" - Jean-Michel Rene Souche #Trump2020 #MAGA https://t.co/0Esrw1d9dp",,,,,0,0,1,0
,2018-05-29T22:43:17,1,0,@Dragonsenergy17 @GregNorberg @therealroseanne @WhoopiGoldberg Whoopi is such a piece of 💩.,,,,,0,0,1,0
,2018-05-29T22:42:47,0,0,@Dragonsenergy17 @GregNorberg @therealroseanne @WhoopiGoldberg Infuriating!!,,,,,-0.6103,0.499,0.501,0
,2018-05-29T22:42:17,0,422,RT @Dragonsenergy17: This is far worse then what @therealroseanne said. But hey @WhoopiGoldberg still has her show because the left thinks…,,,,,-0.4767,0.134,0.866,0
,2018-05-29T22:41:49,0,5,RT @VistaJake: Roseanne-- I need no apology -- I recognized that you just alluded to Jarrett being ugly - big deal-- she is..  So is Sharpt…,,,,,-0.6486,0.206,0.749,0.045
,2018-05-29T22:40:57,1,1,St. Louis prosecutor says she's resolved Greitens charges https://t.co/9kh3RQZk6A,,,,,-0.1027,0.194,0.648,0.157
,2018-05-28T23:08:27,0,2,RT @Dj3uh8HnWcyMDU4: @realDonaldTrump Finally...  a President who recognizes we don't need to lose American lives in vain.  We are the stro…,,,,,-0.1386,0.121,0.781,0.098
,2018-05-28T23:08:18,0,2,"RT @Sglass10Glass: @realDonaldTrump Home of the free, because of the brave. God bless America!!",,,,,0.9039,0,0.451,0.549
,2018-05-28T23:08:06,0,2,"RT @CherylTorner: @realDonaldTrump Thank you, Mr President!!  👍🇱🇷💞🙏",,,,,0.4738,0,0.694,0.306
,2018-05-28T23:08:03,0,4,"RT @vintage48: @realDonaldTrump Love our great President , Donald Trump.",,,,,0.8519,0,0.458,0.542
,2018-05-28T23:06:39,0,2,RT @kpowellbanks: @realDonaldTrump  https://t.co/Wlk7J7N3X6,,,,,0,0,1,0
,2018-05-28T23:02:20,0,1,RT @p2cat: @rosecorrie607 @ThoughtsOfTony @audiomagnate @realDonaldTrump Bless {hugs},,,,,0.4215,0,0.714,0.286
,2018-05-28T23:01:12,0,0,"@contestmichael @realDonaldTrump Sorry, that was for all the jerk liberals that keep saying they’re nasty stuff, I’m sick to death of having to see all their masty comments. I can’t work this block button fast enough.",,,,,-0.9507,0.381,0.619,0
,2018-05-28T22:58:31,0,0,@contestmichael @realDonaldTrump Piece of shit,,,,,-0.5574,0.474,0.526,0
,2018-05-28T22:53:20,0,16,RT @DrPhilla: @realDonaldTrump MAGA,,,,,0,0,1,0
,2018-05-28T22:52:15,0,0,@CroanCharlie @realDonaldTrump U r some sick pieces of 💩.,,,,,-0.5106,0.355,0.645,0
,2018-05-28T22:51:15,0,0,@Kokomothegreat @realDonaldTrump Talk about STUPID PPl,,,,,-0.6289,0.453,0.547,0
,2018-05-28T22:49:41,0,18083,RT @realDonaldTrump: #MemorialDay🇺🇸 https://t.co/Iohcuhi4dQ,,,,,0,0,1,0
,2018-05-28T22:48:03,0,777,"RT @Real_Gaz: Nancy Pelosi said that @realDonaldTrump letter to NK was a valentine

Since #POTUS cancelled the summit, NK has come back to…",,,,,-0.25,0.087,0.913,0
,2018-05-28T22:45:57,0,0,@yasss_honeyyy @CHIZMAGA I don’t do liberals,,,,,0,0,1,0
,2018-05-28T22:43:54,0,33,RT @sreednak: #IFinallySnappedWhen the kid slapped me https://t.co/Glj9SOYol0,,,,,0,0,1,0
,2018-05-28T22:38:11,0,56,RT @mamabridgee: #IFinallySnappedWhen my dress split open trying to show off my twerking skills. https://t.co/7lcY75C3FS,,,,,0,0,1,0
,2018-05-28T22:34:46,0,10,RT @SomeWhatLivin: #IFinallySnappedWhen When I reunited with my family https://t.co/5jYMxrTpfh,,,,,0,0,1,0
,2018-05-28T22:34:22,6,0,@navyvet55 @codeofvets What kind of bullshit is that ??😡😡🤬🤬,,,,,-0.6655,0.358,0.642,0
,2018-05-28T22:33:32,0,123,"RT @navyvet55: #ifinallysnappedwhen a family of illegals were given housing, food, and cash assistance in the same waiting room and within…",,,,,0,0,1,0
,2018-05-28T02:35:08,0,3,RT @mimisooner: Candace fiancé not only has a ex-wife but a baby momma &amp; he sees his little kids only once a month &amp; hasn’t seen his older…,,,,,0,0,1,0
,2018-05-28T02:34:13,0,1,"RT @le_intanetz: These uber wealthy #RHOP women referring to other women as “tricks” ... whew chile, the ghetto.",,,,,0.4201,0,0.859,0.141
,2018-05-28T02:28:36,0,1,RT @devonfdickerson: #rhop @RobynDixonRHOP u need to tell @iammrssamuels that u have more money in ur bank acct then she will every earn in…,,,,,0,0,1,0
,2018-05-28T02:24:55,0,0,"@Tha_Watercooler Uh, I think they do have a little money now, since juan got the coaching job.",,,,,0,0,1,0
,2018-05-28T02:21:20,0,0,@misslacy09 You mean the black dough boy?? Really??,,,,,0,0,1,0
,2018-05-28T01:11:38,0,3,RT @chrissyKB: #RHOP Monique talking about lifting up other women and all you did was attack her bank account . Get over yourself..,,,,,-0.4767,0.129,0.871,0
,2018-05-28T01:09:54,0,30,RT @spinandzen: I would never attack someone financially because any given day... you may be without!  Roosters have a way of coming home t…,,,,,0.4303,0,0.881,0.119
,2018-05-28T00:47:46,0,1,RT @UppityInsomniac: Is it me or is Candiace stuttering extra hard while she was giving that blended family speech? Blended families are on…,,,,,-0.0772,0.142,0.766,0.092
,2018-05-28T00:46:44,0,1,RT @tonyawillis: @chandrapntx @iammrssamuels @RobynDixonRHOP And Monique likes to pretend to be nice she’s really not that nice. It is what…,,,,,0.7906,0.052,0.634,0.313
,2018-05-28T00:44:28,2,0,"@PebbzPR I know, most dead beat dads blame it on the mother,  it’s a convenient excuse.",,,,,-0.7713,0.362,0.57,0.067
,2018-05-28T00:35:43,0,0,Sherman’s definitely not going to get any better than gizelle.#rhop,,,,,0.6808,0,0.588,0.412
,2018-05-28T00:28:04,3,0,So what does princess Candace even do for a living? I guess mommy just keeps paying for her living?#rhop,,,,,0,0,1,0
,2018-05-28T00:12:48,0,1,"RT @kathy_attardo: @kendylei @AndreaNRuth @Gabbiedrice78K Kendy, I couldn't believe how out of control it got. I can't stand that! That's w…",,,,,0,0,1,0
,2018-05-27T23:36:12,1,0,"@kathy_attardo @AndreaNRuth @Gabbiedrice78K Those were my thoughts too krae, I was incensed how someone turned this whole topic into how racist she feels every white person is.  Yet the hatred was coming from a black girl.",,,,,-0.9042,0.265,0.735,0
,2018-05-27T23:25:01,0,1,RT @kathy_attardo: @AndreaNRuth @kendylei @Gabbiedrice78K THIS IS SOOO RIDICULOUS!! THE POOR GIRL WAS PEACEFULLY TWEETING ABOUT SOMETHING A…,,,,,-0.5449,0.286,0.56,0.154
,2018-05-27T21:31:02,1,0,"Fake news, Liars  https://t.co/cFYBnsEKWv",,,,,-0.7579,0.765,0.235,0
,2018-05-27T20:29:22,0,284,RT @The_Trump_Train: @realDonaldTrump BACK THE BLUE!,,,,,0,0,1,0
,2018-05-27T19:56:05,0,192,"RT @KMGGaryde: Good Morning Patriots!
#StopTheThrottling
#GiveMyFollowersBack
#mastersoftheuniverse
#enough
#censorship
@DiamondandSilk
@Do…",,,,,0.4926,0,0.775,0.225
,2018-05-27T19:55:55,0,5,"RT @CortesSteve: It's totally legally and appropriate for any employer, from the NFL to a diner, to restrict an employee's on-the-job prote…",,,,,-0.228,0.112,0.816,0.073
,2018-05-27T19:55:36,0,6413,"RT @RealJack: It’s okay to be a black Conservative.

It’s okay to be white.

It’s okay to be a female Trump supporter.

It’s okay to be a g…",,,,,0.7717,0,0.673,0.327
,2018-05-27T19:55:15,0,4734,RT @DAGrizzMeister: After their 8 year reign of terror in the Oval Office practically sending the citizens of our country sailing over a cl…,,,,,-0.5267,0.139,0.861,0
,2018-05-27T19:52:59,1,1,"@fredontwittur @JustaFan18 @AndreaNRuth There’s no comparison between Trump kids and chelsey Clinton. Trump kids-💯,  Chelsey Clinton-0. https://t.co/DgD4MB3AmW",,,,,-0.296,0.121,0.879,0
,2018-05-27T19:43:59,1,0,@AndreaNRuth @Gabbiedrice78K Crazy insane to be accused of being a racist no matter what we say. We’re being called racist just because of the color of our skin when we say or do anything.,,,,,-0.9468,0.392,0.583,0.025
,2018-05-27T19:39:45,0,2,RT @Plonerock: @Gabbiedrice78K @AndreaNRuth This is 100% false on many levels.  It’s these blanket generalizations that are costing the dem…,,,,,0,0,1,0
,2018-05-27T19:38:18,0,1,RT @allovergirl: @Gabbiedrice78K @AndreaNRuth Commendable how you conflated questioning Chelsea with racism.  That's really using all the l…,,,,,-0.6705,0.256,0.744,0
,2018-05-27T19:37:30,0,1,RT @Bot_Vigilante: @Gabbiedrice78K @AndreaNRuth Apparently it's racist just not to BE white now. WTF?,,,,,-0.8602,0.416,0.584,0
,2018-05-27T19:37:07,0,3,"RT @AndreaNRuth: @Gabbiedrice78K Bye now, racist.",,,,,-0.6124,0.444,0.556,0
,2018-05-27T19:34:49,2,0,"@RandyN90468488 @Krush59 @realDonaldTrump Sounds pretty simple to me. Basically, don’t bite the hand that feeds you, and feeds you WELL!!!",,,,,0.8781,0,0.627,0.373
,2018-05-27T19:33:28,0,1,RT @RandyN90468488: @Krush59 @realDonaldTrump If someone is paying you to do a job in a specific way huge sums of money. You don't breathe…,,,,,0.3182,0,0.901,0.099
,2018-05-27T19:32:52,0,0,"@Kimo_Gish @Krush59 @realDonaldTrump True, and most cops are trained to defend themselves and make it home alive everyday which everyone knows. If you’re going to be a criminal that’s already a dangerous risk, but if you’re resisting and becoming a threat. Game over. Very simple!!!",,,,,-0.8213,0.221,0.706,0.073
,2018-05-27T19:25:22,0,2,"RT @sadbluegal: @Krush59 @realDonaldTrump Once the players put on their mandatory uniforms,they are representatives of the company and must…",,,,,0.0772,0,0.933,0.067
,2018-05-27T19:24:52,0,1,RT @jdsimar: @Krush59 @realDonaldTrump The NFL is preventing them from protesting while they're supposed to be working.  The NFL is a priva…,,,,,-0.4404,0.17,0.83,0
,2018-05-27T19:24:06,0,1,RT @PoppyMarkSr: @Krush59 @realDonaldTrump I don’t think you have the faintest clue what a Christian is my friend. I will tell you. Come in…,,,,,0.4939,0,0.862,0.138
,2018-05-27T19:23:47,0,0,@Krush59 @PoppyMarkSr @realDonaldTrump 🙄🙄🙄,,,,,0,0,1,0
,2018-05-27T19:23:31,0,1,RT @PoppyMarkSr: @Krush59 @realDonaldTrump What you see is truth. Like it or lump it...truth you shall see!,,,,,0.6239,0,0.747,0.253
