id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-30T14:40:19,0,0,"A horrible injustice happened to Eric Greitens, indicted without evidence, name dragged through the mud, and all you care about is your little stupid twitter. What about the prosecutorial misconduct?

For a lawyer you truly don’t care about the law it would seem. #moleg #mogov https://t.co/OEp6HS6oDw",,,,,-0.2165,0.178,0.641,0.181
,2018-05-30T14:36:23,2,0,"You owe an apology to @EricGreitens for presuming guilt. 

Shame on you 

#moleg #mogov #Greitens https://t.co/QcKg38kb9w",,,,,-0.6124,0.268,0.67,0.062
,2018-05-30T08:17:03,0,1922,RT @Thomas1774Paine: WATCH: REMEMBER WHEN BILL MAHER Accused Donald Trump Of Being The Son Of An Ape? … No One FIRED Him https://t.co/f3i92…,,,,,-0.8286,0.315,0.685,0
,2018-05-30T08:15:22,0,575,"RT @parscale: Our grassroots revolution in 2016 was a warning shot to the ruling political, media elites 

Don't forget about middle Americ…",,,,,-0.1862,0.104,0.824,0.072
,2018-05-30T08:15:02,0,3972,"RT @PeterSweden7: I was just thinking.

Hollywood punished #Roseanne faster for a tweet than they punished Harvey Weinstein and Kevin Space…",,,,,-0.7184,0.261,0.739,0
,2018-05-30T08:14:57,0,6660,RT @KimStrassel: Obama's spying scandal is starting to look a lot like Watergate https://t.co/DUDjEMM2di via @nypost,,,,,-0.1027,0.158,0.707,0.136
,2018-05-30T08:14:49,0,6347,"RT @FiveRights: Roseanne got cancelled for the same reason as ""Last Man Standing.""
Everyone knows it.
ABC was just waiting for an excuse.",,,,,-0.1779,0.082,0.864,0.053
,2018-05-30T08:14:39,0,26471,"RT @realDonaldTrump: Sorry, I’ve got to start focusing my energy on North Korea Nuclear, bad Trade Deals, VA Choice, the Economy, rebuildin…",,,,,-0.4019,0.185,0.734,0.081
,2018-05-30T08:12:51,0,0,@missmichkah @MissouriGOP Health care isnt a right,,,,,0.4939,0,0.61,0.39
,2018-05-30T07:19:16,0,8,RT @philip_saulter: @Jemsinger We will be in August and Novemeber.  Republicans in office who were complicit with the war on the will of Mo…,,,,,-0.5994,0.145,0.855,0
,2018-05-30T07:18:52,0,5,"RT @magathemaga1: You arent a free and fair press. 

You are Carlos slims' b*****

Seriously you folks lie daily and push an anti American…",,,,,-0.7693,0.313,0.687,0
,2018-05-30T07:18:15,0,5,"RT @philip_saulter: @EdBigCon @VisioDeiFromLA @joshdcaplan @Koster4Missouri Greitens may have resigned, but this does not mean we can give…",,,,,-0.128,0.081,0.919,0
,2018-05-30T07:18:08,0,5,"RT @trbrad62: @RJFerryJr @RealSaavedra #moleg heating up the tar and feathers this week. Lots of $$$ changing hands, too. 

I don't believe…",,,,,0,0,1,0
,2018-05-30T07:17:53,0,448,"RT @MJASheridan: Hey @ABCNetwork @Disney how to you justify keeping @jimmykimmel employed when he is known for mocking blacks with ""Blackfa…",,,,,-0.4019,0.119,0.881,0
,2018-05-30T07:17:49,0,541,RT @Thomas1774Paine: Deep State Poster Boy Trey Gowdy: FBI’s Use of Informant for Trump Campaign Was Appropriate (VIDEO) https://t.co/OKteS…,,,,,0,0,1,0
,2018-05-30T07:17:36,0,3358,RT @Golfinggary5221: Focus today should not be on what @therealroseanne said but what Valerie Jarrett DID to America! She was awful and har…,,,,,-0.6476,0.163,0.837,0
