id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-30T14:33:38,0,1,"RT @AIIAmericanGirI: Governor Eric Greitens announces resignation, effective Friday https://t.co/5Zr2UHDeix @true_pundit #AAG",,,,,0.2263,0.144,0.654,0.203
,2018-05-30T09:44:02,0,174,"RT @WomenforTrump: Outrageous!
John McCain’s wife set to take his Senate seat according to sources in Arizona. What an insult to the people…",,,,,-0.7644,0.239,0.761,0
,2018-05-30T09:41:46,0,51,RT @mark_selby723: FBI Files Document Communism in Valerie Jarrett’s Family https://t.co/4SuDl4HWLt via @JudicialWatch,,,,,0,0,1,0
,2018-05-30T03:19:58,0,49,RT @RichieRichietwo: @therealroseanne .@ABC 😡 https://t.co/Gs8aeaCOuk,,,,,0,0,1,0
,2018-05-30T03:18:35,0,513,"RT @_LoveLike_JESUS: .
   If Christianity bores You,
     then You haven't met
                “JESUS”

 -- Retweet if you Agree --
.",,,,,0.0516,0.116,0.758,0.126
,2018-05-30T03:10:21,0,211,"RT @CONNORFORTRUMP: WEB SITE - FULLY SECURED

https://t.co/Xn5pBfS0ao 

Is now FULLY SECURED and encrypted for the SAFETY and SECURITY of y…",,,,,0.9484,0,0.507,0.493
,2018-05-30T03:09:16,0,4480,"RT @Harlan: The Democratic Party has NO leadership.

The Democratic Party has NO money.

The Democratic Party has NO message.

The Democrat…",,,,,-0.1776,0.267,0.486,0.246
,2018-05-30T03:04:46,0,1645,"RT @senjudiciary: Chairman @ChuckGrassley: @SenJudiciary Committee to hold hearing entitled: ""Examining the Inspector General's First Repor…",,,,,0.2732,0,0.877,0.123
,2018-05-29T21:49:10,0,375,RT @MichaelDelauzon: HAPPENING NOW: Trump Rally line extends for blocks and blocks and it's growing by the second! https://t.co/5Ol4Kj8Cvn,,,,,-0.2244,0.184,0.673,0.144
,2018-05-29T16:11:35,0,2492,"RT @WiredSources: INCREDIBLE: President Trump’s Nashville rally isn’t scheduled to begin for another 8.5 hours, but people are already lini…",,,,,0,0,1,0
,2018-05-29T16:11:26,0,5244,"RT @BillOReilly: Because of press corruption, millions of Americans have stopped buying newspapers, and cable news TV operations will soon…",,,,,-0.2263,0.091,0.909,0
