id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-22T15:32:58,0,0,"DemocRATS still think WeThePeople are stupid
#RedTsunami 
#MAGA continues
#KAG2018",,,,,-0.5267,0.274,0.726,0
,2018-05-22T15:25:40,0,4818,RT @SaraCarterDC: It’s the other way around- Officials in the Obama administration utilized the tools of the intelligence community and law…,,,,,0.4767,0,0.866,0.134
,2018-05-22T15:18:07,0,8,"RT @Lautergeist: Oh Lort.  Another one.  

#HereWeGoAgainWithTheLies
#Greitens #GreitensTrial 

She's claiming RAPE when there isn't a vict…",,,,,-0.7531,0.266,0.734,0
,2018-05-22T15:16:55,0,14714,"RT @realDonaldTrump: .@AsaHutchinson, the great Governor of Arkansas, is in a primary tomorrow. He has done an incredible job with a focus…",,,,,0.6249,0,0.823,0.177
,2018-05-22T15:00:13,0,3,"RT @DeplorableGoldn: RT 🚨
Shes conflicted period and needs to remove herself from the case 

Her public comments show she has already preju…",,,,,0,0,1,0
,2018-05-22T14:59:29,1,0,@VisioDeiFromLA @tkinder @jeanpetersbaker @EricGreitens @Eric_Schmitt @ali @joelpollak @joel_capizzi @FitzpatrickMO @BillEigel @TeamGreitens @strmsptr @RealTravisCook @blackwidow07 @Neilin1Neil @SKOLBLUE1 @RightSideUp313 Another democRAT braindead feminist - trained by Claire McCaskill - the same as trained by Killary - how can we expect anything 'unbiased' from @jeanpetersbaker https://t.co/lsxrIe0fft,,,,,0,0,1,0
,2018-05-22T14:52:48,0,8,"RT @VisioDeiFromLA: @tkinder @jeanpetersbaker @EricGreitens Shes conflicted period and needs to remove herself from the case 

Her public c…",,,,,0,0,1,0
,2018-05-22T14:51:19,0,17,"RT @magathemaga1: The problem is the house lied. 

They can’t establish credibility as THEY NEVER EVEN CROSS EXAMINED THE WITNESS 

House t…",,,,,-0.6486,0.209,0.791,0
,2018-05-22T14:49:32,0,5,"RT @Lautergeist: Come on #MoLeg!  This is NOT what we hired you to do!  #ElectionsHaveConsequences

We were on to your shenanigans and hire…",,,,,0,0,1,0
,2018-05-22T14:46:44,0,5,"RT @MSTLGA: @Sticknstones4 @HotPokerPrinces So Far MEC Filings show these Legislators took 
Low Income Housing Tax Credit  $ #Moleg 

Todd…",,,,,0.128,0.097,0.783,0.12
,2018-05-22T14:46:09,0,7,"RT @MSTLGA: This is not a woman that was sexually assaulted !  This was a consensual affair
Brought to light by political operatives that c…",,,,,-0.5707,0.15,0.85,0
,2018-05-22T14:45:48,0,7,"RT @JW1057: @971FMTalk @MarcCox971 Summary: Kitty hates the @EricGreitens for not leaving Sheena and making her the first lady. 
#moleg #mo…",,,,,-0.4404,0.127,0.873,0
