id,created_at,fav,rt,text,media1,media2,media3,media4,compound,neg,neu,pos
,2018-05-22T14:02:45,0,3,RT @JW1057: @strmsptr @J_Hancock We got @EricGreitens back. Plus it seems from Facebook comments on KSDK page people are not believing Kitt…,,,,,0,0,1,0
,2018-05-22T13:57:56,0,10,"RT @MSTLGA: ITS NOT OK FOR YOU TO MAKE YOUR DONORS MILLIONAIRES!     
 
Todd Richardson 
Caleb Rowdan 
Shamed Dogan
Nicholas Schroer 
Elija…",,,,,-0.2404,0.151,0.736,0.114
,2018-05-22T13:56:56,0,5,"RT @Lautergeist: Come on #MoLeg!  This is NOT what we hired you to do!  #ElectionsHaveConsequences

We were on to your shenanigans and hire…",,,,,0,0,1,0
,2018-05-22T13:56:07,2,2,@J_Hancock Not this time. #Greitens is a SEAL and will fight to the end. If the MO GOP loses seats this November over #LIHTC then so be it.,,,,,-0.5994,0.164,0.836,0
,2018-05-22T12:47:16,0,210,"RT @President1Trump: #BREAKING: Former Trump Aide drops a bombshell, says he was approached by a second FBI informant! #ObamaGateSpyScandal…",,,,,0,0,1,0
,2018-05-22T04:14:00,0,0,@puckroger @johnrhancock Sir you just hit the nail right on the head. Even the well meaning conservatives out there who are on this impeachment bandwagon are just giving the left ammo for the struggle for the soul of our nation.,,,,,0.296,0.053,0.845,0.103
,2018-05-22T03:46:22,2,0,@EricGreitens Ignore these naysaying bots and keep fighting Governor.  We all know that this is a #LIHTC induced witch hunt.  #IStandWithGreitens,,,,,-0.7579,0.306,0.694,0
,2018-05-22T03:21:54,1,0,@ResethO Understatement of the decade. 😀,,,,,0,0,1,0
,2018-05-22T02:47:33,0,0,@thehill #MAGA #MAGA #MAGA!!!!!🇺🇸🇺🇸🇺🇸🇺🇸,,,,,0,0,1,0
,2018-05-22T02:08:05,0,0,@JWebb4Justice Welcome to the party....,,,,,0.4588,0,0.571,0.429
,2018-05-22T01:36:43,0,16,RT @JW1057: @ksdknews Still don't think this is political? Kitty runs around for months screaming privacy and then gives interview on eve o…,,,,,-0.3818,0.106,0.894,0
,2018-05-22T01:15:26,3,0,@CaseyNolen So I guess this means the case will not be refiled.  ?,,,,,0,0,1,0
,2018-05-21T23:25:30,1,0,@jeanpetersbaker Everyone knows her name anyways and the ex husbands.,,,,,0,0,1,0
,2018-05-21T20:33:15,0,9,"RT @YearOfZero: Ali. Where have u been? 

Bunch of #Missouri citizens have been covering witch hunt &amp; con job on @EricGreitens 

Reason us…",,,,,-0.3612,0.106,0.894,0
,2018-05-21T20:32:07,0,7,"RT @YearOfZero: These folks are actually talking about why a scam job the whole #greitens thing is.

Hashtags to look at besides #moleg #mo…",,,,,-0.5719,0.144,0.856,0
,2018-05-21T20:30:45,5,3,Yes #moleg. This is not shady at all 😎 #saveGovernorGreitens https://t.co/8KLn0Z5sKQ,,,,,0.4019,0,0.769,0.231
,2018-05-21T20:11:53,0,0,@ahernandez2bak @seanhannity @SaraCarterDC @CNN @MSNBC Keep dreaming while we #MAGA🇺🇸🇺🇸🇺🇸 😂😂😂😂😂😂😂,,,,,0,0,1,0
,2018-05-21T19:59:30,0,0,@tflinn1 Uhhh.  #CrossfireHurricane .....,,,,,0,0,1,0
,2018-05-21T16:51:13,1,0,@EricHolder Fast and Furious.... enough said.,,,,,0,0,1,0
,2018-05-21T16:25:01,0,0,Stopping Robert Mueller to protect us all https://t.co/6uhFQmo5Y1   too bad Dems...  you can’t pull your money out of the pot when you have already gone all in and your bluff is called,,,,,-0.3612,0.139,0.79,0.071
,2018-05-21T12:58:46,0,80,RT @RealJack: At least he told the truth.... for once. https://t.co/LigQl0GNrZ,,,,,0,0,1,0
,2018-05-21T07:42:38,0,11,RT @philip_saulter: @ericgraves50 @EricGreitens @KOMUnews #Moleg seems to forget that Eric still has the support of many many Missourians.…,,,,,0.2023,0.088,0.787,0.125
,2018-05-21T03:06:02,1,0,@kathygriffin #LiberalismIsAMentalDisorder,,,,,0,0,1,0
,2018-05-21T03:05:07,0,88,RT @you: @realDonaldTrump Do you believe Donald?,,,,,0,0,1,0
,2018-05-21T03:03:46,0,4,RT @stump54jumper: don't do it Trump!!!! https://t.co/idPAP47VBm,,,,,0,0,1,0
,2018-05-21T02:58:53,2,0,@andylassner Hold our beers .....,,,,,0,0,1,0
,2018-05-21T02:27:42,1,0,@NYMag @sullydish Promises Kept. #MAGA #KAG #Trump2020 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,,,,,0.3818,0,0.729,0.271
,2018-05-21T02:20:34,0,12,RT @88YahamaKeys: #Moleg What are you going to impeach the @GovGreitensMO for?  Do tell! Because charges were dropped and then this was iss…,,,,,-0.3382,0.098,0.902,0
,2018-05-21T00:48:33,0,0,"@JohnBrennan With all due respect sir, you seem a bit rattled",,,,,0.4767,0,0.744,0.256
,2018-05-20T18:20:31,0,1804,RT @AndrewPollackFL: My son is spot on! Our politicians have been incredibly selfish. They don’t care about the kids that are dying. All th…,,,,,-0.1243,0.128,0.762,0.111
,2018-05-20T18:14:03,0,53102,"RT @realDonaldTrump: I hereby demand, and will do so officially tomorrow, that the Department of Justice look into whether or not the FBI/D…",,,,,0.4404,0.06,0.803,0.137
,2018-05-20T18:14:03,0,19155,RT @realDonaldTrump: The Witch Hunt finds no Collusion with Russia - so now they’re looking at the rest of the World. Oh’ great!,,,,,0.1759,0.178,0.676,0.146
