ID,Posted at,Screen name,Text
1000960859483471873,2018-05-28 04:44:00 +0000,janae_gardner,"RT @KHNooli: Kanye on TMZ: WHAT ABOUT BLACK ON BLACK CRIME IN CHICAGO!!

Rhymefest: Hey can you help out with the charity that i… https://t.co/Gm1jZ303pC"
1000921397244375040,2018-05-28 02:07:11 +0000,ElsieDuhart,"RT @conradchaffee: Some senators seem unclear about what happened today. 

Senator Gardner (R-CO): ""I hope the North Korean people und… https://t.co/qbKvRbdN46"
1000884078378287109,2018-05-27 23:38:54 +0000,vicbreeders,"Locally trained by Paul Gardner, 5yo mare ROUGHLY scored yesterday at @AliceTurfClub with jockey Kim Gladwin aboard… https://t.co/y6aQwcOzuz"
1000713094249766912,2018-05-27 12:19:28 +0000,tbfiii,RT @dogboy05: @LifeSite @DineshDSouza I think Kim Gardner is the kind of prosecutor that likes to subvert the law to get people s… https://t.co/xzgmEZ399L
1000701476216410112,2018-05-27 11:33:18 +0000,HendryTina,RT @James_vru: @always_hope83 @Graham_Goulden @Keith_Gardner__ @iainmurray11 @karynmccluskey @JohnCarnochan @Keithjack_vru… https://t.co/41r8UBDVKa
1000701454703788032,2018-05-27 11:33:13 +0000,HendryTina,@James_vru @always_hope83 @Graham_Goulden @Keith_Gardner__ @iainmurray11 @karynmccluskey @JohnCarnochan… https://t.co/fbaQ23mepb
1000683787695607809,2018-05-27 10:23:01 +0000,James_vru,@always_hope83 @Graham_Goulden @Keith_Gardner__ @iainmurray11 @karynmccluskey @JohnCarnochan @Keithjack_vru… https://t.co/41r8UBDVKa
1000606665786494976,2018-05-27 05:16:34 +0000,SmokeyBear2018,"RT @magathemaga1: George Soros bought Kim Gardner 

And it was a consensual kinky affair

Sorry champ but facts are facts.

She kept… https://t.co/DnkUyLNzCP"
1000582910720667649,2018-05-27 03:42:10 +0000,sigi_hill,"RT @YearOfZero: It also doesn’t mean they were taken. 

This is idiotic. There would be no indictment without Kim Gardner’s bs. 

A… https://t.co/HySHTWijtB"
1000575777895780352,2018-05-27 03:13:49 +0000,milton_gardner_,"RT @cedfunches: Marvel: 'Infinity War is the most ambitious crossover event in history'

Me: 'Kanye. Drake. Pusha T. Rhymefest. Kim… https://t.co/nME7JsCBlV"
1000524292457746432,2018-05-26 23:49:14 +0000,Neilin1Neil,"RT @YearOfZero: It also doesn’t mean they were taken. 

This is idiotic. There would be no indictment without Kim Gardner’s bs. 

A… https://t.co/HySHTWijtB"
1000522064598523904,2018-05-26 23:40:23 +0000,Rik_Gardner,"As a slightly nerdy Aussie white guy, it’s alarming how into lil’ Kim I am at the moment. Like, I know I have zero… https://t.co/sObEUlVxvi"
1000505917950124032,2018-05-26 22:36:13 +0000,YearOfZero,"It also doesn’t mean they were taken. 

This is idiotic. There would be no indictment without Kim Gardner’s bs. 

A… https://t.co/HySHTWijtB"
1000402209526501376,2018-05-26 15:44:07 +0000,NSFMill,"RT @YearOfZero: @EricGreitens is innocent!

Great ad showing what soros and #KimShady have been up to! 

Now we just need a video e… https://t.co/n8ai1vqJsn"
1000398156654358528,2018-05-26 15:28:01 +0000,Sticknstones4,"RT @YearOfZero: @EricGreitens is innocent!

Great ad showing what soros and #KimShady have been up to! 

Now we just need a video e… https://t.co/n8ai1vqJsn"
1000395177859612674,2018-05-26 15:16:11 +0000,VisioDeiFromLA,"RT @magathemaga1: George Soros bought Kim Gardner 

And it was a consensual kinky affair

Sorry champ but facts are facts.

She kept… https://t.co/DnkUyLNzCP"
1000383514808934401,2018-05-26 14:29:50 +0000,dogboy05,@LifeSite @DineshDSouza I think Kim Gardner is the kind of prosecutor that likes to subvert the law to get people s… https://t.co/xzgmEZ399L
1000378247522193409,2018-05-26 14:08:54 +0000,eye95,"Kim Gardner, @StLouisCityCA, is not an advocate for the law. She is an advocate for a very particular set of politi… https://t.co/zudkmZGtVR"
1000347005363916800,2018-05-26 12:04:46 +0000,EdBigCon,"RT @magathemaga1: George Soros bought Kim Gardner 

And it was a consensual kinky affair

Sorry champ but facts are facts.

She kept… https://t.co/DnkUyLNzCP"
1000260995212865536,2018-05-26 06:22:59 +0000,Ijames2018,"RT @magathemaga1: George Soros bought Kim Gardner 

And it was a consensual kinky affair

Sorry champ but facts are facts.

She kept… https://t.co/DnkUyLNzCP"
1000217091515928576,2018-05-26 03:28:32 +0000,sure_edit_tweet,@theTrumpet_com @js_jacques @Seekingtruthsee May The 'Schwartz' Be With You: Someone wrote it for him to read? (i)… https://t.co/Pge7mGZlqB
1000149916881117184,2018-05-25 23:01:36 +0000,sigi_hill,"RT @magathemaga1: George Soros bought Kim Gardner 

And it was a consensual kinky affair

Sorry champ but facts are facts.

She kept… https://t.co/DnkUyLNzCP"
1000127153479012352,2018-05-25 21:31:09 +0000,2xsRocks,#ItsTheMusic! Resurrection Shuffle by ASHTON GARDNER AND DYKE (from 1971). The Blackpool power trio 'one-hit wonder… https://t.co/nbpPDm6pWy
1000117818891931648,2018-05-25 20:54:03 +0000,magathemaga1,"George Soros bought Kim Gardner 

And it was a consensual kinky affair

Sorry champ but facts are facts.

She kept… https://t.co/DnkUyLNzCP"
1000105695008772097,2018-05-25 20:05:53 +0000,jray_redfever,@JackPosobiec Greitens should just plead the 5th.... he has a massive civil case against Kim Gardner and the City of St Louis 😂😂😂😂
1000101181828550657,2018-05-25 19:47:57 +0000,JohnBisciJr,@Claire_Kellett @EricGreitens @KMOV @KMOVMatt @russellkinsaul When is Kim Gardner going to be investigated for her misconduct?
1000092982501093377,2018-05-25 19:15:22 +0000,NSFMill,"RT @sigi_hill: @CStamper_ Now democrat prosecuter Kim Gardner is barred by the court from any issue concerning Governor. Yet, she… https://t.co/u2JpreGHyi"
1000091401952968704,2018-05-25 19:09:05 +0000,sigi_hill,"@CStamper_ Now democrat prosecuter Kim Gardner is barred by the court from any issue concerning Governor. Yet, she… https://t.co/u2JpreGHyi"
1000041838286225409,2018-05-25 15:52:08 +0000,GopherGrad,"RT @conradchaffee: Some senators seem unclear about what happened today. 

Senator Gardner (R-CO): ""I hope the North Korean people und… https://t.co/qbKvRbdN46"
1000041205038764032,2018-05-25 15:49:37 +0000,Obscurica,"RT @conradchaffee: Some senators seem unclear about what happened today. 

Senator Gardner (R-CO): ""I hope the North Korean people und… https://t.co/qbKvRbdN46"
1000040905179586560,2018-05-25 15:48:26 +0000,0xKruzr,"RT @conradchaffee: Some senators seem unclear about what happened today. 

Senator Gardner (R-CO): ""I hope the North Korean people und… https://t.co/qbKvRbdN46"
