ID,Posted at,Screen name,Text
1001250980204335104,2018-05-28 23:56:50 +0000,Randomsmom,RT @SykesforSenate: Proud to be the only senate candidate at the St. Louis courthouse last Wednesday in support of @EricGreitens before… https://t.co/gVqNJpzymv
1001250467316412416,2018-05-28 23:54:48 +0000,drdgphd,"RT @EricGreitens: This Memorial Day, as many of us enjoy fun with friends and family, please also take a moment to remember those who… https://t.co/pP2gMJlSeM"
1001250104513265666,2018-05-28 23:53:21 +0000,LouB050,@tonymess @EricGreitens @FBI Doubt she’d be saying this if it was a Democrat in the Governor’s Office & I can hear… https://t.co/CJdXkC6NNm
1001249853912035328,2018-05-28 23:52:22 +0000,smart_hillbilly,"@jpclubb @KatrinaMFairch3 @EricGreitens Lol, you really want to beat that drum don't you? I am not greitens and I a… https://t.co/T37peJgiyU"
1001249063306780674,2018-05-28 23:49:13 +0000,jpclubb,@smart_hillbilly @KatrinaMFairch3 @EricGreitens Still waiting on that name....what are you so afraid of?? Are you Greitens?!!
1001248858700156929,2018-05-28 23:48:24 +0000,smart_hillbilly,"@jpclubb @KatrinaMFairch3 @EricGreitens Have you ""Maled"" up your mind about that too?"
1001248595608309760,2018-05-28 23:47:22 +0000,jsl909,"RT @EricGreitens: This Memorial Day, as many of us enjoy fun with friends and family, please also take a moment to remember those who… https://t.co/pP2gMJlSeM"
1001246952321896448,2018-05-28 23:40:50 +0000,DaveShields22,"@EricGreitens Damn man, your career is over. You are doing nothing but embarrassing yourself,  your family and your… https://t.co/4mbX9OAgTb"
1001246841231593477,2018-05-28 23:40:23 +0000,jpclubb,@smart_hillbilly @KatrinaMFairch3 @EricGreitens You’re stalling. It won’t work. @EricGreitens hates transparency ap… https://t.co/6ZGgZS9bS0
1001246596129021953,2018-05-28 23:39:25 +0000,SKOLBLUE1,@BlueSeaOnMyMind @jgsgerard @EricGreitens Everyone? Just me? I am the farthest from a fascist just speak the truth… https://t.co/xccLuweNuG
1001245878395420673,2018-05-28 23:36:34 +0000,BlueSeaOnMyMind,"@SKOLBLUE1 @jgsgerard @EricGreitens ""In line for questioning""

Found the fascist, everyone"
1001245346821849088,2018-05-28 23:34:27 +0000,BlueSeaOnMyMind,@EricGreitens Remember the heroism you showed when you sexually assaulted your hairdresser?
1001244773607444481,2018-05-28 23:32:10 +0000,YearOfZero,"She isn’t a victim dude.

It was a consensual affair.

Regret doesn’t equal abuse.

If anything @EricGreitens is th… https://t.co/rS7s3iEeOA"
1001244446942474241,2018-05-28 23:30:53 +0000,smart_hillbilly,"@jpclubb @KatrinaMFairch3 @EricGreitens Ooo, so you're serious? Is my name so important to you? I'm not sure I actu… https://t.co/z4OQbNdfmE"
1001243591174447105,2018-05-28 23:27:28 +0000,barkercolin91,"RT @EricGreitens: This Memorial Day, as many of us enjoy fun with friends and family, please also take a moment to remember those who… https://t.co/pP2gMJlSeM"
1001243590528569347,2018-05-28 23:27:28 +0000,smart_hillbilly,@jpclubb @KatrinaMFairch3 @EricGreitens Why do you care? I am single if that's what you're wondering. 😍
1001243222935572480,2018-05-28 23:26:01 +0000,jpclubb,@smart_hillbilly @KatrinaMFairch3 @EricGreitens John P. Clubb.y nickname is JP. Your turn.
1001243199594270722,2018-05-28 23:25:55 +0000,smart_hillbilly,@jpclubb @KatrinaMFairch3 @EricGreitens I'll take your word for it. At least you spelled yes properly.
1001243024440156165,2018-05-28 23:25:13 +0000,jpclubb,@smart_hillbilly @KatrinaMFairch3 @EricGreitens Who are you hillbilly?? Why the secrecy?
1001242926217822209,2018-05-28 23:24:50 +0000,smart_hillbilly,"@jpclubb @KatrinaMFairch3 @EricGreitens Oh yeah, because ""JP"" is your full name. And it's twitter bro, no one is re… https://t.co/UbJn7E5ljx"
1001242893921734665,2018-05-28 23:24:42 +0000,jpclubb,@smart_hillbilly @KatrinaMFairch3 @EricGreitens Yes.
1001242214041833472,2018-05-28 23:22:00 +0000,smart_hillbilly,"@jpclubb @KatrinaMFairch3 @EricGreitens If you did, would you be capable of using them properly???"
1001241800802267138,2018-05-28 23:20:22 +0000,jpclubb,"@smart_hillbilly @KatrinaMFairch3 @EricGreitens Dude, I don't have enough characters to detail what you've missed."
1001241585898704896,2018-05-28 23:19:30 +0000,smart_hillbilly,"@jpclubb @Mizzourah_Mom @EricGreitens Lol, I don't work for greitens. I've never even met the guy. I am simply a supporting him."
1001240510311337986,2018-05-28 23:15:14 +0000,smart_hillbilly,"@jpclubb @KatrinaMFairch3 @EricGreitens ""Criminal"", so he has been found guilty. What did I miss?"
1001240330371559426,2018-05-28 23:14:31 +0000,jpclubb,"@smart_hillbilly @KatrinaMFairch3 @EricGreitens Hey, I use my real name on Twitter. What's your real name?"
1001240322280583168,2018-05-28 23:14:29 +0000,KatrinaMFairch3,@smart_hillbilly @EricGreitens I could see more about the governor trying to still be governor. My son is going acr… https://t.co/vgKdmJzrtf
1001239844314632193,2018-05-28 23:12:35 +0000,jpclubb,"@smart_hillbilly @KatrinaMFairch3 @EricGreitens Yes, he has. He refuses to answer reporters questions and he tweets… https://t.co/4HXuw9xPj2"
1001239552848224257,2018-05-28 23:11:26 +0000,smart_hillbilly,"@jpclubb @KatrinaMFairch3 @EricGreitens He has not tried to hide his ""crimes"" behind his service. You really need to pay more attention."
1001239552466571265,2018-05-28 23:11:26 +0000,jpclubb,@smart_hillbilly @Mizzourah_Mom Good one! I also don't give OK Simpson a break if he tweets support for the fallen… https://t.co/tQGFXLaKXQ
1001238502917529600,2018-05-28 23:07:15 +0000,jpclubb,@smart_hillbilly @KatrinaMFairch3 @EricGreitens I have no respect for a man who tries to hide his crimes behind his… https://t.co/2wUf18UPzt
1001238339276673024,2018-05-28 23:06:36 +0000,smart_hillbilly,@jpclubb @KatrinaMFairch3 @EricGreitens It is still alleged in the impeachment trial at this time.
1001237760299229184,2018-05-28 23:04:18 +0000,jpclubb,"@smart_hillbilly @KatrinaMFairch3 @EricGreitens In a criminal court, yes. Doesn't everybody knows that? Watch Law a… https://t.co/Qm114ijeqA"
1001237721795432450,2018-05-28 23:04:09 +0000,smart_hillbilly,"@Mmoran64 @EricGreitens Thanks for acknowledging your lack of respect. Have a good holiday, and remember, greitens… https://t.co/bZsjFrG57p"
1001237329644843010,2018-05-28 23:02:36 +0000,smart_hillbilly,"@jpclubb @KatrinaMFairch3 @EricGreitens Lol, so you know the rule is innocent until proven guilty?"
1001236830912688129,2018-05-28 23:00:37 +0000,smart_hillbilly,"@jpclubb @KatrinaMFairch3 @EricGreitens I didn't mention impeachment, I said it still remains alleged. And the publ… https://t.co/q9FFNLwULs"
1001235937857363968,2018-05-28 22:57:04 +0000,Mmoran64,@smart_hillbilly @EricGreitens i believe he's guilty. he probably will never face rape charges in court. his accuse… https://t.co/7afrfsZjmV
1001235881968193536,2018-05-28 22:56:50 +0000,jpclubb,@smart_hillbilly @KatrinaMFairch3 @EricGreitens My career status is VERY important. I know the law. I know he's vio… https://t.co/FxJBINVl3Z
1001235870148575232,2018-05-28 22:56:48 +0000,Not_Fade__Away,@EricGreitens have you resigned yet?
1001235467461955584,2018-05-28 22:55:12 +0000,jpclubb,@smart_hillbilly @KatrinaMFairch3 @EricGreitens That's in a court of law. Impeachment proceedings are different. An… https://t.co/JmsJnrycD1
1001235097637609472,2018-05-28 22:53:43 +0000,bknighton76,"RT @EricGreitens: This Memorial Day, as many of us enjoy fun with friends and family, please also take a moment to remember those who… https://t.co/pP2gMJlSeM"
1001235083435659264,2018-05-28 22:53:40 +0000,smart_hillbilly,"@Mmoran64 @EricGreitens Funny, everything you just said, has yet to be proven in a court of law. It's alleged. Inno… https://t.co/zCsG5eOW7U"
