ID,Posted at,Screen name,Text
1002277584091086848,2018-05-31 19:56:12 +0000,Str8DonLemon,"RT @Str8DonLemon: See how @TBSNetwork is handling @iamsambee outrageous “feckless c**t” rant againt @IvankaTrump ASTOUNDING. 

By all… https://t.co/kM6kJy4vqW"
1002276324801728512,2018-05-31 19:51:11 +0000,Str8DonLemon,"See how @TBSNetwork is handling @iamsambee outrageous “feckless c**t” rant againt @IvankaTrump ASTOUNDING. 

By all… https://t.co/kM6kJy4vqW"
1002253147010715648,2018-05-31 18:19:05 +0000,Str8DonLemon,"RT @Str8DonLemon: #Grietens may be gone. But will the shady tax credits come back?

Will @mikeparson open the shady #LIHTC back up?… https://t.co/qLS8weYs6u"
1002253062034153474,2018-05-31 18:18:45 +0000,Str8DonLemon,"#Grietens may be gone. But will the shady tax credits come back?

Will @mikeparson open the shady #LIHTC back up?… https://t.co/qLS8weYs6u"
1002221657631715328,2018-05-31 16:13:58 +0000,Str8DonLemon,"RT @magathemaga1: She lied

Deposition needs to be made public. It will exonerate Eric on the invasion privacy charge. How come I can… https://t.co/S3Ux8UIysr"
1002070962743934976,2018-05-31 06:15:09 +0000,Str8DonLemon,"RT @repdottieb4mo: The political version of ""Pimp my Ride""...on a low budget...hey man, I'm trying! The kids loved it! #maga #moleg https://t.co/9RAHdjEJg1"
1002070817021325312,2018-05-31 06:14:35 +0000,Str8DonLemon,"RT @YearOfZero: When are you going to investigate all the money wasted in Kim Gardner’s office?

@LydaKrewson #moleg #kimshady https://t.co/OttYn6VOcj"
1002053357140430850,2018-05-31 05:05:12 +0000,Str8DonLemon,"RT @Str8DonLemon: OUR CHILDREN ARE IN TROUBLE

Our children go 2 college 4 them 2  return

👉Hating America 
👉Hating Personal Responsi… https://t.co/kbYzNaKtqN"
1002053307215564800,2018-05-31 05:05:00 +0000,Str8DonLemon,"OUR CHILDREN ARE IN TROUBLE

Our children go 2 college 4 them 2  return

👉Hating America 
👉Hating Personal Responsi… https://t.co/kbYzNaKtqN"
1002050442157797377,2018-05-31 04:53:37 +0000,Str8DonLemon,"RT @Str8DonLemon: Sarah a certified idiot, an Alex Jones type of the left. 

She has no credibility. Hey but she confirms biases--tha… https://t.co/Sl3qw9T3h2"
1002050241577832448,2018-05-31 04:52:49 +0000,Str8DonLemon,RT @KevinCorlew: Grateful to have @travisfitzwater with me today to knock doors and meet #KCNorthland voters in #MoSen17! #moleg… https://t.co/dRcEOQn8O4
1002050145318563842,2018-05-31 04:52:26 +0000,Str8DonLemon,"RT @raybozarth: Huge turnout for pro-jobs, pro-life @KevinCorlew at SD17 GOTV Rally! #moleg https://t.co/ekDvOt7dls"
1002050130219069441,2018-05-31 04:52:22 +0000,Str8DonLemon,RT @MissouriGOP: .@KevinCorlew now talking to the crowd about how he voted to lower taxes and put more money in the pockets of Misso… https://t.co/xqYyq3mEml
1002050110002524160,2018-05-31 04:52:18 +0000,Str8DonLemon,RT @claycountygop: Thank you to @MissouriGOP for hosting the rally and to everyone for coming out and supporting @KevinCorlew! https://t.co/BsszMJBCnC
1002050020110229504,2018-05-31 04:51:56 +0000,Str8DonLemon,"RT @KevinCorlew: Proud to be endorsed by #Northland teachers of @NKCCTA. As a state senator, I'll continue to be a consistent champi… https://t.co/2ZOq9H0U3m"
1002049993585381376,2018-05-31 04:51:50 +0000,Str8DonLemon,RT @KevinCorlew: Grateful to have @SaraForMissouri join us today to reach #Northland voters by phone and at their doors! #MoLeg… https://t.co/kXkal870D6
1002049923678965762,2018-05-31 04:51:33 +0000,Str8DonLemon,"RT @KevinCorlew: Joining #Northland residents & leaders to honor those who've given the ultimate sacrifice to defend our freedoms, a… https://t.co/r7OKlhueqk"
1002049909388926978,2018-05-31 04:51:30 +0000,Str8DonLemon,RT @KevinCorlew: Remembering fallen heroes in the #Northland at the #MemorialDay ceremony at Terrace Park Cemetery. #MoLeg https://t.co/Dq00pp6RHG
1002049898487967744,2018-05-31 04:51:27 +0000,Str8DonLemon,"RT @KevinCorlew: This #MemorialDay, join me in honoring the men & women of our military who sacrificed everything to guarantee the f… https://t.co/ooUeUUCvwO"
1002049885577928704,2018-05-31 04:51:24 +0000,Str8DonLemon,"RT @KevinCorlew: Proud to be endorsed by KCBizPAC, a partnership of @kcchamber & the Civic Council of Greater #KC, in the #VoteJune5… https://t.co/P5cYeTDPMz"
1002049345745752064,2018-05-31 04:49:15 +0000,Str8DonLemon,"RT @Str8DonLemon: You mean the consensual affair where they did role play based on 50 shades of grey?

Why were you so quiet when Chr… https://t.co/VKn9sWfTcc"
1002047571475468293,2018-05-31 04:42:12 +0000,Str8DonLemon,"RT @Str8DonLemon: Claire supports:

Abortions 
Ms 13 
America last 

#MoSen https://t.co/5f6xIZRM3c"
1002047098991325185,2018-05-31 04:40:20 +0000,Str8DonLemon,@JoshAlterity @HawleyMO @jamesriver How many people will be afraid to retweet this cuz pepe! Pepe will get his good… https://t.co/BXENgIRLLS
1002046908414783489,2018-05-31 04:39:34 +0000,Str8DonLemon,"RT @JoshAlterity: @HawleyMO @jamesriver Get out, viper.

#AP4Senate #MOsen #MOleg #DrainTheSwamp 
#DitchMitch #MAGA #tcot #tlot https://t.co/irNTHuzn7t"
1002046760108339200,2018-05-31 04:38:59 +0000,Str8DonLemon,"RT @esqonfire: Ok, Missouri GOP, let’s all unite & get to work on our #1 priority for 2018: #FireClaire #MOSen"
1002046737987637248,2018-05-31 04:38:54 +0000,Str8DonLemon,"@OriginalBad @tankcat Unproven accusations, and why was he horrible again? Because a women lied?"
1002046456142888960,2018-05-31 04:37:46 +0000,Str8DonLemon,@aaron_hedlund I agree. But good luck finding that sentiment on twitter. Too much gloating and pettiness.
1002046257702014976,2018-05-31 04:36:59 +0000,Str8DonLemon,"RT @aaron_hedlund: What is too often forgotten amidst the verbal jousting, partisan fighting, and internecine tussles is that politics… https://t.co/2ncvTBvHXF"
1002046191708884993,2018-05-31 04:36:43 +0000,Str8DonLemon,"Claire supports:

Abortions 
Ms 13 
America last 

#MoSen https://t.co/5f6xIZRM3c"
1002046035588452352,2018-05-31 04:36:06 +0000,Str8DonLemon,RT @TexasForAP: Can @clairecmc really relate to the average Missourian? She voted against tax cuts yet has a net worth of over $60… https://t.co/ypUKI77ajw
1002045262364315649,2018-05-31 04:33:02 +0000,Str8DonLemon,"RT @Str8DonLemon: Facts 4 Trey Gowdy

Criminal investigation didn’t start until Mueller was unlawfully assigned

COINTEL SPYING was A… https://t.co/B62dTfe3hs"
1002045255372427264,2018-05-31 04:33:00 +0000,Str8DonLemon,"Hey @dbongino @Barnes_Law @LarrySchweikart 

Use this meme!

#Spygate https://t.co/rPZ3Nb9B3d"
1002042541615788037,2018-05-31 04:22:13 +0000,Str8DonLemon,"RT @dbongino: I do now, and always will, vigorously defend a free press. That also means that the press are free to embarrass and… https://t.co/dubBUs4KNc"
1002042485634424832,2018-05-31 04:22:00 +0000,Str8DonLemon,RT @emfvet78: Call these numbers and Demand and end to this Treasonous witch hunt. These are Death Penalty acts of Treason to und… https://t.co/c7tkEXaZM7
1002042436464594945,2018-05-31 04:21:48 +0000,Str8DonLemon,"Facts 4 Trey Gowdy

Criminal investigation didn’t start until Mueller was unlawfully assigned

COINTEL SPYING was A… https://t.co/B62dTfe3hs"
1002029686397038592,2018-05-31 03:31:08 +0000,Str8DonLemon,"RT @realDonaldTrump: “The recusal of Jeff Sessions was an unforced betrayal of the President of the United States.” JOE DIGENOVA, former U.S. Attorney."
1002014625695715334,2018-05-31 02:31:17 +0000,Str8DonLemon,"RT @Str8DonLemon: The voters didnt accept it.

And he is was an outsider who didnt play ball. That's what this is all about. You got… https://t.co/SOVbRhiwNO"
1002014601519751168,2018-05-31 02:31:12 +0000,Str8DonLemon,"RT @Str8DonLemon: You mean the concnesual affair you knew about?

Tell me, how come you didnt have a problem that this women lied or… https://t.co/27nsRm1b2U"
1002014506690719744,2018-05-31 02:30:49 +0000,Str8DonLemon,"RT @Str8DonLemon: He is. 

The main was unfairly prosecuted.

Indicted without probable cause.

The ex husband and the wife both lied… https://t.co/AWVzfx89LY"
1002014451837620231,2018-05-31 02:30:36 +0000,Str8DonLemon,"RT @Str8DonLemon: Liberals think rules don't apply to them. They dont think YOUR vote counts & R seeking 2 undo the election

✔… https://t.co/w5FAKLlyFt"
1002013855680225280,2018-05-31 02:28:14 +0000,Str8DonLemon,"The voters didnt accept it.

And he is was an outsider who didnt play ball. That's what this is all about. You got… https://t.co/SOVbRhiwNO"
1002013505418121216,2018-05-31 02:26:50 +0000,Str8DonLemon,"Sarah a certified idiot, an Alex Jones type of the left. 

She has no credibility. Hey but she confirms biases--tha… https://t.co/Sl3qw9T3h2"
1002013145970434050,2018-05-31 02:25:25 +0000,Str8DonLemon,"You mean the concnesual affair you knew about?

Tell me, how come you didnt have a problem that this women lied or… https://t.co/27nsRm1b2U"
1002012612194906112,2018-05-31 02:23:17 +0000,Str8DonLemon,"RT @JCPenknife: Hey Parson, now would be a good time to denounce lobbyists and their money. #moltgov #mogov #moleg #GreitensResigns #lihtc"
1002012465981546496,2018-05-31 02:22:43 +0000,Str8DonLemon,"You mean the consensual affair where they did role play based on 50 shades of grey?

Why were you so quiet when Chr… https://t.co/VKn9sWfTcc"
1002012218471407616,2018-05-31 02:21:44 +0000,Str8DonLemon,"RT @Neilin1Neil: @LydaKrewson Begin the healing? When a liberal says that, they mean-shut up and do what we tell you! #Greitens… https://t.co/0w2GNSJTbd"
1002012056533561346,2018-05-31 02:21:05 +0000,Str8DonLemon,"RT @repdottieb4mo: I will not cloak myself in President Trump’s accomplishments....wait, yes i will! I was Trump before Trump was cool… https://t.co/61BNQNCxLO"
1002012023633469440,2018-05-31 02:20:57 +0000,Str8DonLemon,RT @Neilin1Neil: The people of Missouri are learning that they no longer possess the power of self-governance. #Greitens… https://t.co/zNDyabeFQw
1002008087266562048,2018-05-31 02:05:19 +0000,Str8DonLemon,"RT @Str8DonLemon: Jordan McLinn, a boy suffering from Duchenne Muscular Dystrophy hugs @realDonaldTrump after he signs “Right to Try”… https://t.co/jnstXGhDu5"
1002008032878977027,2018-05-31 02:05:06 +0000,Str8DonLemon,"Jordan McLinn, a boy suffering from Duchenne Muscular Dystrophy hugs @realDonaldTrump after he signs “Right to Try”… https://t.co/jnstXGhDu5"
1002007428102348801,2018-05-31 02:02:41 +0000,Str8DonLemon,RT @antischool_ftw: Jeffy Boy is more interested in letting Mueller run wild with taxpayer funded conspiracy theories! https://t.co/eMCLoCsePR
1001673150101377029,2018-05-30 03:54:23 +0000,Str8DonLemon,"Liberals think rules don't apply to them. They dont think YOUR vote counts & R seeking 2 undo the election

✔… https://t.co/w5FAKLlyFt"
1001653097993732098,2018-05-30 02:34:43 +0000,Str8DonLemon,"RT @Str8DonLemon: This is the type of mentality that is bad for America.

Assuming everybody who cares for justice & that prosecutori… https://t.co/WZ83VPxokM"
1001652981291454464,2018-05-30 02:34:15 +0000,Str8DonLemon,"He is. 

The main was unfairly prosecuted.

Indicted without probable cause.

The ex husband and the wife both lied… https://t.co/AWVzfx89LY"
1001652511630069760,2018-05-30 02:32:23 +0000,Str8DonLemon,@sallybodoll @AP4Liberty For the lulz
1001652422291443715,2018-05-30 02:32:01 +0000,Str8DonLemon,@speculawyer @AP4Liberty Lol
1001652290539880448,2018-05-30 02:31:30 +0000,Str8DonLemon,"This is the type of mentality that is bad for America.

Assuming everybody who cares for justice & that prosecutori… https://t.co/WZ83VPxokM"
1001651485137137665,2018-05-30 02:28:18 +0000,Str8DonLemon,@_FlyUnderground @magathemaga1 @DeplorableGoldn @VisioDeiFromLA @EricGreitens @JW1057 @MikeCierpiot You seriously d… https://t.co/h1bNeRSmal
1001651102960451585,2018-05-30 02:26:47 +0000,Str8DonLemon,"@ali The fact is they indicted this man without evidence or probable cause. If that doesn't scare you, it should. I… https://t.co/JNpiD4kJyJ"
1001650823548555265,2018-05-30 02:25:40 +0000,Str8DonLemon,@ali Dude who is paying you to push this? He may have resigned but you clearly dont have the facts on this case at all.
1001650653993881600,2018-05-30 02:25:00 +0000,Str8DonLemon,@Lhivera @JW1057 @ali No the case was dropped due to Kim gardners prosecutorial misconduct
